biweek,year,loc,cases,pop
10,1915,BALTIMORE,131,650277.566
11,1915,BALTIMORE,135,651033.2062
12,1915,BALTIMORE,164,651788.8803
13,1915,BALTIMORE,124,652544.5602
14,1915,BALTIMORE,69,653300.2176
15,1915,BALTIMORE,37,654055.8242
16,1915,BALTIMORE,22,654811.3518
17,1915,BALTIMORE,13,655566.7722
18,1915,BALTIMORE,6,656322.0571
19,1915,BALTIMORE,8,657077.1784
20,1915,BALTIMORE,7,657832.1077
21,1915,BALTIMORE,7,658586.8169
22,1915,BALTIMORE,15,659341.2777
23,1915,BALTIMORE,53,660095.4619
24,1915,BALTIMORE,115,660849.3413
25,1915,BALTIMORE,256,661602.8875
26,1915,BALTIMORE,339,662356.0725
1,1916,BALTIMORE,296,663108.8679
2,1916,BALTIMORE,399,663861.2455
3,1916,BALTIMORE,402,664613.1771
4,1916,BALTIMORE,465,665364.6345
5,1916,BALTIMORE,614,666115.5894
6,1916,BALTIMORE,578,666866.0136
7,1916,BALTIMORE,536,667615.8788
8,1916,BALTIMORE,547,668365.1569
9,1916,BALTIMORE,458,669113.8196
10,1916,BALTIMORE,392,669861.8386
11,1916,BALTIMORE,267,670609.1857
12,1916,BALTIMORE,190,671355.8328
13,1916,BALTIMORE,114,672101.7515
14,1916,BALTIMORE,89,672846.9136
15,1916,BALTIMORE,37,673591.2909
16,1916,BALTIMORE,8,674334.8552
17,1916,BALTIMORE,18,675077.5782
18,1916,BALTIMORE,15,675819.4317
19,1916,BALTIMORE,3,676560.3875
20,1916,BALTIMORE,2,677300.4173
21,1916,BALTIMORE,2,678039.4929
22,1916,BALTIMORE,3,678777.586
23,1916,BALTIMORE,4,679514.6685
24,1916,BALTIMORE,4,680250.7121
25,1916,BALTIMORE,6,680985.6886
26,1916,BALTIMORE,6,681719.5697
1,1917,BALTIMORE,6,682452.3272
2,1917,BALTIMORE,13,683183.9329
3,1917,BALTIMORE,33,683914.3585
4,1917,BALTIMORE,57,684643.5758
5,1917,BALTIMORE,139,685371.5566
6,1917,BALTIMORE,170,686098.2726
7,1917,BALTIMORE,260,686823.6956
8,1917,BALTIMORE,391,687547.7974
9,1917,BALTIMORE,591,688270.5497
10,1917,BALTIMORE,599,688991.9244
11,1917,BALTIMORE,622,689711.8931
12,1917,BALTIMORE,478,690430.4276
13,1917,BALTIMORE,281,691147.4998
14,1917,BALTIMORE,141,691863.0813
15,1917,BALTIMORE,90,692577.144
16,1917,BALTIMORE,57,693289.6596
17,1917,BALTIMORE,23,694000.5999
18,1917,BALTIMORE,18,694709.9366
19,1917,BALTIMORE,22,695417.6415
20,1917,BALTIMORE,20,696123.6864
21,1917,BALTIMORE,3,696828.0431
22,1917,BALTIMORE,22,697530.6832
23,1917,BALTIMORE,30,698231.5787
24,1917,BALTIMORE,30,698930.7011
25,1917,BALTIMORE,60,699628.0224
26,1917,BALTIMORE,64,700323.5143
1,1918,BALTIMORE,121,701017.1486
2,1918,BALTIMORE,186,701708.8969
3,1918,BALTIMORE,240,702398.7311
4,1918,BALTIMORE,268,703086.623
5,1918,BALTIMORE,443,703772.5443
6,1918,BALTIMORE,828,704456.4668
7,1918,BALTIMORE,945,705138.3623
8,1918,BALTIMORE,1066,705818.2024
9,1918,BALTIMORE,1194,706495.9591
10,1918,BALTIMORE,926,707171.604
11,1918,BALTIMORE,553,707845.1089
12,1918,BALTIMORE,304,708516.4456
13,1918,BALTIMORE,137,709185.5859
14,1918,BALTIMORE,50,709852.5015
15,1918,BALTIMORE,46,710517.1641
16,1918,BALTIMORE,27,711179.5457
17,1918,BALTIMORE,12,711839.6178
18,1918,BALTIMORE,7,712497.3524
19,1918,BALTIMORE,4,713152.7211
20,1918,BALTIMORE,6,713805.6958
21,1918,BALTIMORE,2,714456.2481
22,1918,BALTIMORE,NA,715104.3499
23,1918,BALTIMORE,5,715749.9729
24,1918,BALTIMORE,2,716393.0889
25,1918,BALTIMORE,12,717033.6697
26,1918,BALTIMORE,14,717671.687
1,1919,BALTIMORE,22,718307.1126
2,1919,BALTIMORE,20,718939.9183
3,1919,BALTIMORE,25,719570.0758
4,1919,BALTIMORE,30,720197.5569
5,1919,BALTIMORE,28,720822.3334
6,1919,BALTIMORE,31,721444.377
7,1919,BALTIMORE,35,722063.6595
8,1919,BALTIMORE,68,722680.1526
9,1919,BALTIMORE,74,723293.8282
10,1919,BALTIMORE,54,723904.658
11,1919,BALTIMORE,38,724512.6138
12,1919,BALTIMORE,42,725117.6673
13,1919,BALTIMORE,16,725719.7903
14,1919,BALTIMORE,11,726318.9546
15,1919,BALTIMORE,7,726915.1319
16,1919,BALTIMORE,8,727508.2941
17,1919,BALTIMORE,5,728098.4128
18,1919,BALTIMORE,5,728685.4598
19,1919,BALTIMORE,10,729269.4069
20,1919,BALTIMORE,11,729850.226
21,1919,BALTIMORE,10,730427.8886
22,1919,BALTIMORE,22,731002.3667
23,1919,BALTIMORE,16,731573.6319
24,1919,BALTIMORE,27,732141.6561
25,1919,BALTIMORE,56,732706.411
26,1919,BALTIMORE,98,733267.8684
1,1920,BALTIMORE,181,733826
2,1920,BALTIMORE,274,734380.7846
3,1920,BALTIMORE,270,734932.2288
4,1920,BALTIMORE,323,735480.3461
5,1920,BALTIMORE,308,736025.1501
6,1920,BALTIMORE,372,736566.6544
7,1920,BALTIMORE,380,737104.8725
8,1920,BALTIMORE,528,737639.818
9,1920,BALTIMORE,560,738171.5045
10,1920,BALTIMORE,560,738699.9455
11,1920,BALTIMORE,503,739225.1545
12,1920,BALTIMORE,306,739747.1453
13,1920,BALTIMORE,158,740265.9312
14,1920,BALTIMORE,100,740781.526
15,1920,BALTIMORE,42,741293.943
16,1920,BALTIMORE,18,741803.196
17,1920,BALTIMORE,16,742309.2985
18,1920,BALTIMORE,16,742812.2639
19,1920,BALTIMORE,15,743312.106
20,1920,BALTIMORE,6,743808.8383
21,1920,BALTIMORE,12,744302.4742
22,1920,BALTIMORE,19,744793.0275
23,1920,BALTIMORE,15,745280.5116
24,1920,BALTIMORE,26,745764.9402
25,1920,BALTIMORE,38,746246.3267
26,1920,BALTIMORE,29,746724.6848
1,1921,BALTIMORE,64,747200.0279
2,1921,BALTIMORE,56,747672.3698
3,1921,BALTIMORE,74,748141.7239
4,1921,BALTIMORE,145,748608.1038
5,1921,BALTIMORE,98,749071.523
6,1921,BALTIMORE,103,749531.9952
7,1921,BALTIMORE,105,749989.5339
8,1921,BALTIMORE,131,750444.1527
9,1921,BALTIMORE,187,750895.865
10,1921,BALTIMORE,233,751344.6846
11,1921,BALTIMORE,236,751790.6249
12,1921,BALTIMORE,165,752233.6995
13,1921,BALTIMORE,85,752673.922
14,1921,BALTIMORE,48,753111.306
15,1921,BALTIMORE,18,753545.8649
16,1921,BALTIMORE,20,753977.6124
17,1921,BALTIMORE,9,754406.5621
18,1921,BALTIMORE,15,754832.7274
19,1921,BALTIMORE,4,755256.1221
20,1921,BALTIMORE,6,755676.7595
21,1921,BALTIMORE,16,756094.6533
22,1921,BALTIMORE,13,756509.8171
23,1921,BALTIMORE,46,756922.2644
24,1921,BALTIMORE,107,757332.0088
25,1921,BALTIMORE,140,757739.0638
26,1921,BALTIMORE,116,758143.4431
1,1922,BALTIMORE,164,758545.1601
2,1922,BALTIMORE,214,758944.2284
3,1922,BALTIMORE,215,759340.6617
4,1922,BALTIMORE,208,759734.4734
5,1922,BALTIMORE,329,760125.6772
6,1922,BALTIMORE,364,760514.2865
7,1922,BALTIMORE,484,760900.315
8,1922,BALTIMORE,474,761283.7762
9,1922,BALTIMORE,468,761664.6837
10,1922,BALTIMORE,484,762043.0511
11,1922,BALTIMORE,412,762418.8919
12,1922,BALTIMORE,366,762792.2196
13,1922,BALTIMORE,213,763163.0479
14,1922,BALTIMORE,97,763531.3903
15,1922,BALTIMORE,68,763897.2604
16,1922,BALTIMORE,30,764260.6717
17,1922,BALTIMORE,17,764621.6378
18,1922,BALTIMORE,8,764980.1722
19,1922,BALTIMORE,8,765336.2886
20,1922,BALTIMORE,8,765690.0005
21,1922,BALTIMORE,16,766041.3214
22,1922,BALTIMORE,24,766390.265
23,1922,BALTIMORE,75,766736.8447
24,1922,BALTIMORE,142,767081.0742
25,1922,BALTIMORE,85,767422.967
26,1922,BALTIMORE,50,767762.5366
1,1923,BALTIMORE,79,768099.7967
2,1923,BALTIMORE,138,768434.7608
3,1923,BALTIMORE,160,768767.4424
4,1923,BALTIMORE,191,769097.8552
5,1923,BALTIMORE,290,769426.0127
6,1923,BALTIMORE,448,769751.9284
7,1923,BALTIMORE,650,770075.616
8,1923,BALTIMORE,1050,770397.0889
9,1923,BALTIMORE,1179,770716.3608
10,1923,BALTIMORE,1245,771033.4452
11,1923,BALTIMORE,1207,771348.3557
12,1923,BALTIMORE,753,771661.1058
13,1923,BALTIMORE,367,771971.7092
14,1923,BALTIMORE,164,772280.1793
15,1923,BALTIMORE,136,772586.5297
16,1923,BALTIMORE,67,772890.774
17,1923,BALTIMORE,18,773192.9258
18,1923,BALTIMORE,30,773492.9986
19,1923,BALTIMORE,13,773791.006
20,1923,BALTIMORE,13,774086.9616
21,1923,BALTIMORE,13,774380.8788
22,1923,BALTIMORE,14,774672.7714
23,1923,BALTIMORE,17,774962.6528
24,1923,BALTIMORE,39,775250.5366
25,1923,BALTIMORE,34,775536.4363
26,1923,BALTIMORE,64,775820.3656
1,1924,BALTIMORE,60,776102.338
2,1924,BALTIMORE,76,776382.3671
3,1924,BALTIMORE,84,776660.4664
4,1924,BALTIMORE,161,776936.6495
5,1924,BALTIMORE,325,777210.93
6,1924,BALTIMORE,369,777483.3213
7,1924,BALTIMORE,455,777753.8372
8,1924,BALTIMORE,535,778022.4911
9,1924,BALTIMORE,498,778289.2966
10,1924,BALTIMORE,479,778554.2673
11,1924,BALTIMORE,390,778817.4167
12,1924,BALTIMORE,313,779078.7584
13,1924,BALTIMORE,192,779338.306
14,1924,BALTIMORE,133,779596.0731
15,1924,BALTIMORE,59,779852.0731
16,1924,BALTIMORE,35,780106.3197
17,1924,BALTIMORE,18,780358.8264
18,1924,BALTIMORE,14,780609.6068
19,1924,BALTIMORE,9,780858.6744
20,1924,BALTIMORE,3,781106.0429
21,1924,BALTIMORE,4,781351.7258
22,1924,BALTIMORE,4,781595.7365
23,1924,BALTIMORE,2,781838.0888
24,1924,BALTIMORE,4,782078.7962
25,1924,BALTIMORE,3,782317.8722
26,1924,BALTIMORE,6,782555.3304
1,1925,BALTIMORE,6,782791.1844
2,1925,BALTIMORE,4,783025.4477
3,1925,BALTIMORE,13,783258.1339
4,1925,BALTIMORE,15,783489.2565
5,1925,BALTIMORE,17,783718.8292
6,1925,BALTIMORE,11,783946.8654
7,1925,BALTIMORE,17,784173.3788
8,1925,BALTIMORE,16,784398.3829
9,1925,BALTIMORE,23,784621.8913
10,1925,BALTIMORE,30,784843.9175
11,1925,BALTIMORE,50,785064.4751
12,1925,BALTIMORE,90,785283.5777
13,1925,BALTIMORE,88,785501.2388
14,1925,BALTIMORE,58,785717.472
15,1925,BALTIMORE,28,785932.2909
16,1925,BALTIMORE,13,786145.709
17,1925,BALTIMORE,15,786357.7398
18,1925,BALTIMORE,11,786568.3971
19,1925,BALTIMORE,12,786777.6942
20,1925,BALTIMORE,14,786985.6448
21,1925,BALTIMORE,32,787192.2625
22,1925,BALTIMORE,100,787397.5608
23,1925,BALTIMORE,202,787601.5532
24,1925,BALTIMORE,410,787804.2534
25,1925,BALTIMORE,535,788005.6749
26,1925,BALTIMORE,330,788205.8312
1,1926,BALTIMORE,1254,788404.736
2,1926,BALTIMORE,2069,788602.4027
3,1926,BALTIMORE,2341,788798.845
4,1926,BALTIMORE,2350,788994.0765
5,1926,BALTIMORE,1496,789188.1106
6,1926,BALTIMORE,1093,789380.9609
7,1926,BALTIMORE,779,789572.6411
8,1926,BALTIMORE,503,789763.1646
9,1926,BALTIMORE,320,789952.5451
10,1926,BALTIMORE,131,790140.7961
11,1926,BALTIMORE,106,790327.9311
12,1926,BALTIMORE,56,790513.9638
13,1926,BALTIMORE,28,790698.9077
14,1926,BALTIMORE,25,790882.7763
15,1926,BALTIMORE,33,791065.5833
16,1926,BALTIMORE,28,791247.3421
17,1926,BALTIMORE,1,791428.0664
18,1926,BALTIMORE,2,791607.7697
19,1926,BALTIMORE,2,791786.4656
20,1926,BALTIMORE,4,791964.1676
21,1926,BALTIMORE,9,792140.8893
22,1926,BALTIMORE,2,792316.6443
23,1926,BALTIMORE,5,792491.4461
24,1926,BALTIMORE,2,792665.3084
25,1926,BALTIMORE,9,792838.2445
26,1926,BALTIMORE,9,793010.2683
1,1927,BALTIMORE,7,793181.3931
2,1927,BALTIMORE,9,793351.6325
3,1927,BALTIMORE,5,793521.0002
4,1927,BALTIMORE,6,793689.5096
5,1927,BALTIMORE,12,793857.1744
6,1927,BALTIMORE,5,794024.0082
7,1927,BALTIMORE,11,794190.0243
8,1927,BALTIMORE,9,794355.2366
9,1927,BALTIMORE,10,794519.6584
10,1927,BALTIMORE,15,794683.3034
11,1927,BALTIMORE,19,794846.1851
12,1927,BALTIMORE,5,795008.3171
13,1927,BALTIMORE,17,795169.713
14,1927,BALTIMORE,16,795330.3863
15,1927,BALTIMORE,9,795490.3505
16,1927,BALTIMORE,4,795649.6194
17,1927,BALTIMORE,4,795808.2063
18,1927,BALTIMORE,3,795966.1249
19,1927,BALTIMORE,6,796123.3888
20,1927,BALTIMORE,3,796280.0114
21,1927,BALTIMORE,13,796436.0064
22,1927,BALTIMORE,29,796591.3874
23,1927,BALTIMORE,56,796746.1679
24,1927,BALTIMORE,75,796900.3614
25,1927,BALTIMORE,128,797053.9815
26,1927,BALTIMORE,171,797207.0418
1,1928,BALTIMORE,365,797359.5559
2,1928,BALTIMORE,607,797511.5373
3,1928,BALTIMORE,878,797662.9996
4,1928,BALTIMORE,1178,797813.9563
5,1928,BALTIMORE,1594,797964.4211
6,1928,BALTIMORE,1854,798114.4074
7,1928,BALTIMORE,1456,798263.9288
8,1928,BALTIMORE,1556,798412.999
9,1928,BALTIMORE,1096,798561.6314
10,1928,BALTIMORE,909,798709.8396
11,1928,BALTIMORE,510,798857.6372
12,1928,BALTIMORE,115,799005.0378
13,1928,BALTIMORE,76,799152.0549
14,1928,BALTIMORE,34,799298.7021
15,1928,BALTIMORE,11,799444.9929
16,1928,BALTIMORE,6,799590.941
17,1928,BALTIMORE,5,799736.5598
18,1928,BALTIMORE,6,799881.863
19,1928,BALTIMORE,2,800026.864
20,1928,BALTIMORE,1,800171.5766
21,1928,BALTIMORE,3,800316.0142
22,1928,BALTIMORE,1,800460.1903
23,1928,BALTIMORE,6,800604.1186
24,1928,BALTIMORE,4,800747.8127
25,1928,BALTIMORE,4,800891.286
26,1928,BALTIMORE,11,801034.5522
1,1929,BALTIMORE,5,801177.6248
2,1929,BALTIMORE,5,801320.5174
3,1929,BALTIMORE,4,801463.2435
4,1929,BALTIMORE,5,801605.8168
5,1929,BALTIMORE,9,801748.2507
6,1929,BALTIMORE,8,801890.5588
7,1929,BALTIMORE,8,802032.7548
8,1929,BALTIMORE,6,802174.8521
9,1929,BALTIMORE,10,802316.8643
10,1929,BALTIMORE,6,802458.805
11,1929,BALTIMORE,9,802600.6878
12,1929,BALTIMORE,8,802742.5262
13,1929,BALTIMORE,11,802884.3338
14,1929,BALTIMORE,6,803026.1241
15,1929,BALTIMORE,4,803167.9107
16,1929,BALTIMORE,3,803309.7073
17,1929,BALTIMORE,0,803451.5272
18,1929,BALTIMORE,0,803593.3842
19,1929,BALTIMORE,2,803735.2917
20,1929,BALTIMORE,2,803877.2634
21,1929,BALTIMORE,3,804019.3127
22,1929,BALTIMORE,4,804161.4533
23,1929,BALTIMORE,5,804303.6988
24,1929,BALTIMORE,16,804446.0626
25,1929,BALTIMORE,6,804588.5583
26,1929,BALTIMORE,2,804731.1996
1,1930,BALTIMORE,7,804874
2,1930,BALTIMORE,7,805016.9714
3,1930,BALTIMORE,4,805160.1193
4,1930,BALTIMORE,12,805303.4474
5,1930,BALTIMORE,7,805446.9598
6,1930,BALTIMORE,9,805590.6601
7,1930,BALTIMORE,21,805734.5523
8,1930,BALTIMORE,42,805878.6401
9,1930,BALTIMORE,48,806022.9274
10,1930,BALTIMORE,84,806167.4181
11,1930,BALTIMORE,55,806312.116
12,1930,BALTIMORE,28,806457.0248
13,1930,BALTIMORE,25,806602.1485
14,1930,BALTIMORE,11,806747.4909
15,1930,BALTIMORE,5,806893.0559
16,1930,BALTIMORE,3,807038.8472
17,1930,BALTIMORE,2,807184.8687
18,1930,BALTIMORE,3,807331.1242
19,1930,BALTIMORE,3,807477.6177
20,1930,BALTIMORE,3,807624.3528
21,1930,BALTIMORE,1,807771.3335
22,1930,BALTIMORE,2,807918.5636
23,1930,BALTIMORE,4,808066.0469
24,1930,BALTIMORE,10,808213.7872
25,1930,BALTIMORE,4,808361.7885
26,1930,BALTIMORE,28,808510.0545
1,1931,BALTIMORE,256,808658.5891
2,1931,BALTIMORE,430,808807.3961
3,1931,BALTIMORE,592,808956.4793
4,1931,BALTIMORE,962,809105.8426
5,1931,BALTIMORE,1549,809255.4899
6,1931,BALTIMORE,2169,809405.4249
7,1931,BALTIMORE,2118,809555.6515
8,1931,BALTIMORE,2270,809706.1736
9,1931,BALTIMORE,1854,809856.9949
10,1931,BALTIMORE,1513,810008.1193
11,1931,BALTIMORE,880,810159.5507
12,1931,BALTIMORE,452,810311.2929
13,1931,BALTIMORE,189,810463.3497
14,1931,BALTIMORE,60,810615.7249
15,1931,BALTIMORE,17,810768.4225
16,1931,BALTIMORE,9,810921.4462
