TaxID;Order;Family;Genus;Scientific_name;AdultBodyMass_g;Sources_AdultBodyMass;Max_longevity_d;Sources_Max_longevity;Rspan_d;AFR_d;Data_AFR;Calculated_GL_d;GenerationLength_d;Sources_GL
29657;Eulipotyphla;Soricidae;Neomys;Neomys anomalus;13.19;PanTHERIA;730;PanTHERIA;649.55;132.45;calculated;320.8195;320.8195;Rspan-AFR(SM+Gest)
41377;Eulipotyphla;Soricidae;Cryptotis;Cryptotis parva;4.97;PanTHERIA;958.125;"PanTHERIA;AnAge";944.18;56.935;calculated;330.7472;330.7472;Rspan-AFR(SM+Gest)
41392;Eulipotyphla;Soricidae;Sorex;Sorex cinereus;4.2;PanTHERIA;699.58333335;PanTHERIA;570.57833335;166.115;calculated;331.58271667;331.5827166715;Rspan-AFR(SM+Gest)
29663;Eulipotyphla;Soricidae;Sorex;Sorex coronatus;9.32;PanTHERIA;410.625;PanTHERIA;155.7;301.915;calculated;347.068;347.068;Rspan-AFR(SM+Gest)
40547;Dasyuromorphia;Dasyuridae;Sminthopsis;Sminthopsis murina;17;PanTHERIA;730;PanTHERIA;560.99;194.01;calculated;356.6971;356.6971;Rspan-AFR(SM+Gest)
41440;Eulipotyphla;Soricidae;Suncus;Suncus murinus;43.76;PanTHERIA;1040.25;"PanTHERIA;AnAge";1037.905;62.535;calculated;363.52745;363.52745;Rspan-AFR(SM+Gest)
29656;Eulipotyphla;Soricidae;Crocidura;Crocidura suaveolens;7.35;PanTHERIA;985.5;"PanTHERIA;AnAge";943.605;96.045;calculated;369.69045;369.69045;Rspan-AFR(SM+Gest)
41453;Eulipotyphla;Soricidae;Blarina;Blarina hylophaga;14.49;PanTHERIA;1022;AnAge;915;107;calculated;372.35;372.35;Rspan-AFR(SM+Gest)
41396;Eulipotyphla;Soricidae;Sorex;Sorex fumeus;7.83;PanTHERIA;473.64833335;PanTHERIA;190.48833335;325.16;calculated;380.40161667;380.4016166715;Rspan-AFR(SM+Gest)
8824;Rodentia;Caviidae;Galea;Galea musteloides;386.64;PanTHERIA;967.25;"PanTHERIA;AnAge";965.28;109.87;calculated;389.8012;389.8012;Rspan-AFR(SM+Gest)
62011;Afrosoricida;Tenrecidae;Hemicentetes;Hemicentetes nigriceps;102.99;PanTHERIA;949;PanTHERIA;942.45;117.19;calculated;390.5005;390.5005;Rspan-AFR(SM+Gest)
41424;Eulipotyphla;Soricidae;Sorex;Sorex unguiculatus;14.11;PanTHERIA;547.5;PanTHERIA;297.23;306.27;calculated;392.4667;392.4667;Rspan-AFR(SM+Gest)
40593;Afrosoricida;Tenrecidae;Hemicentetes;Hemicentetes semispinosus;134;PanTHERIA;985.5;"PanTHERIA;AnAge";992.965;104.605;calculated;392.56485;392.56485;Rspan-AFR(SM+Gest)
14591;Rodentia;Cricetidae;Neotoma;Neotoma micropus;255.14;PanTHERIA;821.25;PanTHERIA;683.05;207.2;calculated;405.2845;405.2845;Rspan-AFR(SM+Gest)
41385;Eulipotyphla;Soricidae;Sorex;Sorex arcticus;8.19;PanTHERIA;547.5;PanTHERIA;233.6;347.9;calculated;415.644;415.644;Rspan-AFR(SM+Gest)
40489;Didelphimorphia;Didelphidae;Didelphis;Didelphis albiventris;1030.47;PanTHERIA;620.5;PanTHERIA;316.82;327.68;calculated;419.5578;419.5578;Rspan-AFR(SM+Gest)
41408;Eulipotyphla;Soricidae;Sorex;Sorex ornatus;5.31;PanTHERIA;517.08333335;PanTHERIA;131.08333335;386;calculated;424.01416667;424.0141666715;Rspan-AFR(SM+Gest)
29651;Eulipotyphla;Soricidae;Crocidura;Crocidura leucodon;10.88;PanTHERIA;1076.75;"PanTHERIA;AnAge";1000.085;137.655;calculated;427.67965;427.67965;Rspan-AFR(SM+Gest)
42633;Rodentia;Cricetidae;Microtus;Microtus pinetorum;25.95;PanTHERIA;1204.5;"PanTHERIA;AnAge";1152.175;97.315;calculated;431.44575;431.44575;Rspan-AFR(SM+Gest)
16711;Peramelemorphia;Peramelidae;Peroryctes;Peroryctes raffrayana;905.63;PanTHERIA;1186.25;"PanTHERIA;AnAge";1036.25;150;calculated;450.5125;450.5125;Rspan-ASMmales
40529;Dasyuromorphia;Dasyuridae;Ningaui;Ningaui ridei;9.42;PanTHERIA;730;PanTHERIA;414.945;342.545;calculated;462.87905;462.87905;Rspan-AFR(SM+Gest)
4680;Rodentia;Muridae;Chiropodomys;Chiropodomys gliroides;23.68;PanTHERIA;1314;AnAge;1192.935;121.065;calculated;467.01615;467.01615;Rspan-AFR(SM+Gest)
29403;Rodentia;Cricetidae;Hylaeamys;Hylaeamys megacephalus;55;Smith et al. 2003;1368.75;PanTHERIA;1342.18;81.13;calculated;470.3622;470.3622;Rspan-AFR(SM+Gest)
11495;Rodentia;Muridae;Lemniscomys;Lemniscomys striatus;43.65;PanTHERIA;1332.25;"PanTHERIA;AnAge";1275.965;106.435;calculated;476.46485;476.46485;Rspan-AFR(SM+Gest)
6568;Rodentia;Cricetidae;Dicrostonyx;Dicrostonyx torquatus;78.77;PanTHERIA;1387;PanTHERIA;1278.46;108.54;calculated;479.2934;479.2934;Rspan-AFR(SM+Gest)
15052;Lagomorpha;Ochotonidae;Ochotona;Ochotona pusilla;142.5;PanTHERIA;1460;PanTHERIA;1454.125;57.865;calculated;479.56125;479.56125;Rspan-AFR(SM+Gest)
13463;Rodentia;Cricetidae;Microtus;Microtus guentheri;49.99;PanTHERIA;1423.5;"PanTHERIA;AnAge";1371.29;94.21;calculated;491.8841;491.8841;Rspan-AFR(SM+Gest)
1888;Rodentia;Muridae;Apodemus;Apodemus agrarius;21.11;PanTHERIA;1460;PanTHERIA;1404.905;96.985;calculated;504.40745;504.40745;Rspan-AFR(SM+Gest)
40525;Dasyuromorphia;Dasyuridae;Antechinus;Antechinus minimus;52.56;PanTHERIA;730;PanTHERIA;396.865;390.405;calculated;505.49585;505.49585;Rspan-AFR(SM+Gest)
1892;Rodentia;Muridae;Apodemus;Apodemus flavicollis;31.6;PanTHERIA;1551.25;"PanTHERIA;AnAge";1533.23;68.52;calculated;513.1567;513.1567;Rspan-AFR(SM+Gest)
40538;Dasyuromorphia;Dasyuridae;Pseudantechinus;Pseudantechinus ningbing;20.74;PanTHERIA;730;PanTHERIA;427.235;394.475;calculated;518.37315;518.37315;Rspan-AFR(SM+Gest)
29661;Eulipotyphla;Soricidae;Sorex;Sorex araneus;9.18;PanTHERIA;949;"PanTHERIA;AnAge";657.35;334.15;calculated;524.7815;524.7815;Rspan-AFR(SM+Gest)
1584;Dasyuromorphia;Dasyuridae;Antechinus;Antechinus leo;70.09;PanTHERIA;730;PanTHERIA;364.165;427.825;calculated;533.43285;533.43285;Rspan-AFR(SM+Gest)
20297;Dasyuromorphia;Dasyuridae;Sminthopsis;Sminthopsis leucopus;23.36;PanTHERIA;912.5;PanTHERIA;569.77;377.37;calculated;542.6033;542.6033;Rspan-AFR(SM+Gest)
41425;Eulipotyphla;Soricidae;Sorex;Sorex vagrans;5.99;PanTHERIA;760.41666665;PanTHERIA;363.12166665;437.425;calculated;542.73028333;542.7302833285;Rspan-AFR(SM+Gest)
41508;Dasyuromorphia;Dasyuridae;Antechinus;Antechinus swainsonii;58.69;PanTHERIA;967.25;"PanTHERIA;AnAge";676.725;348.215;calculated;544.46525;544.46525;Rspan-AFR(SM+Gest)
17036;Rodentia;Cricetidae;Phodopus;Phodopus roborovskii;18.75;Verde Arregoitia et al. 2013;1752;AnAge;1752.1;42.8;calculated;550.909;550.909;Rspan-AFR(SM+Gest)
9454;Rodentia;Muridae;Grammomys;Grammomys dolichurus;41.85;PanTHERIA;1606;"PanTHERIA;AnAge";1546.945;107.045;calculated;555.65905;555.65905;Rspan-AFR(SM+Gest)
41458;Eulipotyphla;Talpidae;Condylura;Condylura cristata;48.15;PanTHERIA;1003.75;"PanTHERIA;AnAge";739.59;344.16;calculated;558.6411;558.6411;Rspan-AFR(SM+Gest)
19686;Rodentia;Muridae;Rhombomys;Rhombomys opimus;285;Animal Diversity;1551.25;"PanTHERIA;AnAge";1470.73;136.02;calculated;562.5317;562.5317;Rspan-AFR(SM+Gest)
40506;Didelphimorphia;Didelphidae;Marmosa;Marmosa robinsoni;60.57;PanTHERIA;1277.5;"PanTHERIA;AnAge";1037.595;267.735;calculated;568.63755;568.63755;Rspan-AFR(SM+Gest)
40549;Dasyuromorphia;Dasyuridae;Sminthopsis;Sminthopsis virginiae;35.24;PanTHERIA;1332.25;"PanTHERIA;AnAge";1117.595;245.965;calculated;570.06755;570.06755;Rspan-AFR(SM+Gest)
42642;Rodentia;Muridae;Apodemus;Apodemus argenteus;15;Verde Arregoitia et al. 2013;1825;AnAge;1764;61;calculated;572.56;572.56;Rspan-ASMmales
40548;Dasyuromorphia;Dasyuridae;Sminthopsis;Sminthopsis ooldea;12.19;PanTHERIA;1095;PanTHERIA;791.555;345.315;calculated;574.86595;574.86595;Rspan-AFR(SM+Gest)
29658;Eulipotyphla;Soricidae;Neomys;Neomys fodiens;15.26;PanTHERIA;1113.25;"PanTHERIA;AnAge";813.72;340.91;calculated;576.8888;576.8888;Rspan-AFR(SM+Gest)
29671;Eulipotyphla;Soricidae;Suncus;Suncus etruscus;2.26;PanTHERIA;1076.75;"PanTHERIA;AnAge";684.5;392.25;calculated;590.755;590.755;Rspan-AFR(SM+Gest)
42597;Rodentia;Geomyidae;Thomomys;Thomomys talpoides;104.64;PanTHERIA;1368.75;PanTHERIA;1160.31;255.44;calculated;591.9299;591.9299;Rspan-AFR(SM+Gest)
5828;Rodentia;Ctenomyidae;Ctenomys;Ctenomys talarum;140.84;PanTHERIA;1095;PanTHERIA;984.135;315.535;calculated;600.93415;600.93415;Rspan-AFR(SM+Gest)
41474;Eulipotyphla;Talpidae;Scapanus;Scapanus orarius;62.13;PanTHERIA;1095;PanTHERIA;807.38;367.62;calculated;601.7602;601.7602;Rspan-AFR(SM+Gest)
18297;Rodentia;Echimyidae;Proechimys;Proechimys semispinosus;353.32;PanTHERIA;1529.9583333;"PanTHERIA;AnAge";1481.4033333;178.205;calculated;607.81196666;607.811966657;Rspan-AFR(SM+Gest)
40527;Dasyuromorphia;Dasyuridae;Dasykaluta;Dasykaluta rosamondae;32.17;PanTHERIA;1095;PanTHERIA;820.465;374.225;calculated;612.15985;612.15985;Rspan-AFR(SM+Gest)
42631;Rodentia;Cricetidae;Microtus;Microtus ochrogaster;42.5;PanTHERIA;1934.5;AnAge;1920.56;58.44;calculated;615.4024;615.4024;Rspan-AFR(SM+Gest)
8825;Rodentia;Caviidae;Galea;Galea spixii;360.61;PanTHERIA;1679;"PanTHERIA;AnAge";1639.36;143.3;calculated;618.7144;618.7144;Rspan-AFR(SM+Gest)
40523;Dasyuromorphia;Dasyuridae;Antechinus;Antechinus bellus;38.73;PanTHERIA;1040.25;"PanTHERIA;AnAge";673.42;426.83;calculated;622.1218;622.1218;Rspan-AFR(SM+Gest)
41255;Lagomorpha;Ochotonidae;Ochotona;Ochotona alpina;150;PanTHERIA;1095;PanTHERIA;746.41;406.55;calculated;623.0089;623.0089;Rspan-AFR(SM+Gest)
853;Rodentia;Dipodidae;Allactaga;Allactaga elater;59;PanTHERIA;1898;AnAge;1792.78;105.22;calculated;625.1262;625.1262;Rspan-AFR(SM+Gest)
21520;Rodentia;Muridae;Gerbilliscus;Gerbilliscus validus;121;PanTHERIA;1825;AnAge;1757.45;117.55;calculated;627.2105;627.2105;Rspan-AFR(SM+Gest)
42654;Rodentia;Cricetidae;Peromyscus;Peromyscus polionotus;14.27;PanTHERIA;2007.5;AnAge;2001.42;53.88;calculated;634.2918;634.2918;Rspan-AFR(SM+Gest)
40546;Dasyuromorphia;Dasyuridae;Sminthopsis;Sminthopsis macroura;23.56;PanTHERIA;1788.5;"PanTHERIA;AnAge";1654.56;157.66;calculated;637.4824;637.4824;Rspan-AFR(SM+Gest)
16694;Rodentia;Cricetidae;Peromyscus;Peromyscus truei;27;PanTHERIA;1971;AnAge;1957.725;71.645;calculated;639.38525;639.38525;Rspan-AFR(SM+Gest)
42600;Rodentia;Heteromyidae;Dipodomys;Dipodomys heermanni;63.08;PanTHERIA;1952.75;"PanTHERIA;AnAge";1930.615;84.125;calculated;644.00335;644.00335;Rspan-AFR(SM+Gest)
13164;Rodentia;Muridae;Meriones;Meriones libycus;91.33;PanTHERIA;1898;AnAge;1830.915;118.515;calculated;649.48035;649.48035;Rspan-AFR(SM+Gest)
40536;Dasyuromorphia;Dasyuridae;Planigale;Planigale tenuirostris;6.27;PanTHERIA;1496.5;"PanTHERIA;AnAge";1243.39;291.11;calculated;651.6931;651.6931;Rspan-AFR(SM+Gest)
1581;Dasyuromorphia;Dasyuridae;Antechinomys;Antechinomys laniger;25.57;PanTHERIA;1241;"PanTHERIA;AnAge";859;405.74;calculated;654.85;654.85;Rspan-AFR(SM+Gest)
16654;Rodentia;Cricetidae;Peromyscus;Peromyscus californicus;42.68;PanTHERIA;2007.5;AnAge;1988.975;81.475;calculated;658.27775;658.27775;Rspan-AFR(SM+Gest)
40524;Dasyuromorphia;Dasyuridae;Antechinus;Antechinus flavipes;44.33;PanTHERIA;1350.5;"PanTHERIA;AnAge";1042.42;361.08;calculated;663.3818;663.3818;Rspan-AFR(SM+Gest)
14869;Rodentia;Muridae;Notomys;Notomys mitchellii;42.8;PanTHERIA;1934.5;AnAge;1892.075;115.395;calculated;664.09675;664.09675;Rspan-AFR(SM+Gest)
13161;Rodentia;Muridae;Meriones;Meriones crassus;69.94;PanTHERIA;2044;"PanTHERIA;AnAge";1997.78;91.72;calculated;671.0762;671.0762;Rspan-AFR(SM+Gest)
41489;Eulipotyphla;Talpidae;Urotrichus;Urotrichus talpoides;18.2;PanTHERIA;1277.5;PanTHERIA;942.32;407.28;calculated;680.5528;680.5528;Rspan-AFR(SM+Gest)
21509;Rodentia;Muridae;Gerbilliscus;Gerbilliscus afra;92.13;PanTHERIA;2080.5;AnAge;2034.52;92.28;calculated;682.2908;682.2908;Rspan-AFR(SM+Gest)
40553;Peramelemorphia;Peramelidae;Isoodon;Isoodon obesulus;824.76;PanTHERIA;1870.625;"PanTHERIA;AnAge";1714.525;186.1;calculated;683.31225;683.31225;Rspan-AFR(SM+Gest)
22573;Rodentia;Cricetidae;Tylomys;Tylomys nudicaudus;181.65;PanTHERIA;1971;"PanTHERIA;AnAge";1908.715;141.795;calculated;695.32235;695.32235;Rspan-AFR(SM+Gest)
4137;Cetartiodactyla;Bovidae;Cephalophus;Cephalophus adersi;9249.95;PanTHERIA;1489.2;"PanTHERIA; Carn_ung";1107.2;382;calculated;703.088;703.088;Rspan-ASMmales
16572;Peramelemorphia;Peramelidae;Perameles;Perameles gunnii;903.46;PanTHERIA;2117;"PanTHERIA;AnAge";2021.61;119.89;calculated;706.1569;706.1569;Rspan-AFR(SM+Gest)
16888;Dasyuromorphia;Dasyuridae;Phascogale;Phascogale calura;43.03;PanTHERIA;1405.25;"PanTHERIA;AnAge";1060.335;403.405;calculated;710.90215;710.90215;Rspan-AFR(SM+Gest)
14867;Rodentia;Muridae;Notomys;Notomys alexis;32.34;PanTHERIA;2117;"PanTHERIA;AnAge";2074.135;110.535;calculated;712.03415;712.03415;Rspan-AFR(SM+Gest)
13211;Rodentia;Muridae;Mesembriomys;Mesembriomys gouldii;716.49;PanTHERIA;2135.25;"PanTHERIA;AnAge";2128.245;95.035;calculated;712.22605;712.22605;Rspan-AFR(SM+Gest)
41266;Lagomorpha;Ochotonidae;Ochotona;Ochotona pallasi;190;Animal Diversity;1460;PanTHERIA;1120;390;calculated;714.8;714.8;Rspan-AFR(SM+Gest)
40526;Dasyuromorphia;Dasyuridae;Antechinus;Antechinus stuartii;29.01;PanTHERIA;1533;"PanTHERIA;AnAge";1232.085;359.065;calculated;716.36965;716.36965;Rspan-AFR(SM+Gest)
16569;Peramelemorphia;Peramelidae;Perameles;Perameles bougainville;230.8;PanTHERIA;2117;AnAge;1992.95;148.05;calculated;726.0055;726.0055;Rspan-AFR(SM+Gest)
8826;Eulipotyphla;Talpidae;Galemys;Galemys pyrenaicus;60.17;PanTHERIA;1825;PanTHERIA;1095;730;calculated;1047.55;730;GMA
14018;Carnivora;Mustelidae;Mustela;Mustela lutreola;566.44;PanTHERIA;3455.3333333;"PanTHERIA;AnAge;Carn_Ung";3132.3333333;323;calculated;1231.3766667;730;GMA
6295;Dasyuromorphia;Dasyuridae;Dasyurus;Dasyurus hallucatus;470.92;PanTHERIA;1606;"PanTHERIA;AnAge";1231.84;374.16;calculated;731.3936;731.3936;Rspan-AFR(SM+Gest)
20184;Rodentia;Dipodidae;Sicista;Sicista betulina;8.92;PanTHERIA;1460;PanTHERIA;1113.68;408.82;calculated;731.7872;731.7872;Rspan-AFR(SM+Gest)
15865;Rodentia;Muridae;Pachyuromys;Pachyuromys duprasi;47.5;PanTHERIA;2317.75;"PanTHERIA;AnAge";2282.51;75.64;calculated;737.5679;737.5679;Rspan-AFR(SM+Gest)
40533;Dasyuromorphia;Dasyuridae;Planigale;Planigale gilesi;9.34;PanTHERIA;1825;PanTHERIA;1568.76;287.98;calculated;742.9204;742.9204;Rspan-AFR(SM+Gest)
16138;Dasyuromorphia;Dasyuridae;Parantechinus;Parantechinus apicalis;71.31;PanTHERIA;1551.25;"PanTHERIA;AnAge";1258.9;388.85;calculated;753.931;753.931;Rspan-AFR(SM+Gest)
42612;Rodentia;Dipodidae;Napaeozapus;Napaeozapus insignis;22.25;PanTHERIA;1460;PanTHERIA;1064.955;446.775;calculated;755.61195;755.61195;Rspan-AFR(SM+Gest)
4068;Rodentia;Caviidae;Cavia;Cavia tschudii;1000;PanTHERIA;2299.5;AnAge;2174.005;125.495;calculated;755.95645;755.95645;Rspan-AFR(SM+Gest)
4064;Rodentia;Caviidae;Cavia;Cavia aperea;524.38;PanTHERIA;2190;AnAge;2184.89;129.81;calculated;763.4281;763.4281;Rspan-AFR(SM+Gest)
40535;Dasyuromorphia;Dasyuridae;Planigale;Planigale maculata;12;PanTHERIA;1788.5;"PanTHERIA;AnAge";1499.58;328.66;calculated;763.5382;763.5382;Rspan-AFR(SM+Gest)
42650;Rodentia;Cricetidae;Neotoma;Neotoma floridana;249.16;PanTHERIA;2117;"PanTHERIA;AnAge";1975.54;209.3;calculated;782.2066;782.2066;Rspan-AFR(SM+Gest)
11634;Rodentia;Muridae;Leporillus;Leporillus conditor;328.82;PanTHERIA;1934.5;AnAge;1731.155;284.835;calculated;786.86995;786.86995;Rspan-AFR(SM+Gest)
42610;Rodentia;Heteromyidae;Perognathus;Perognathus parvus;21.56;PanTHERIA;1788.5;"PanTHERIA;AnAge";1470.88;365.12;calculated;791.6752;791.6752;Rspan-AFR(SM+Gest)
41645;Carnivora;Mustelidae;Ictonyx;Ictonyx libyca;225.18;PanTHERIA;1825;"AnAge; Carn_ung";1454;371;calculated;792.66;792.66;Rspan-ASMmales
1590;Dasyuromorphia;Dasyuridae;Antechinus;Antechinus agilis;22.13;PanTHERIA;1715.5;AnAge;1368.34;401.16;calculated;797.9786;797.9786;Rspan-AFR(SM+Gest)
41469;Eulipotyphla;Talpidae;Parascalops;Parascalops breweri;51.11;PanTHERIA;1825;PanTHERIA;1545.59;349.87;calculated;798.0911;798.0911;Rspan-AFR(SM+Gest)
14185;Chiroptera;Vespertilionidae;Myotis;Myotis nigricans;9.5971698113;Mean_congenerics;2555;AnAge;2457;98;calculated;810.53;810.53;Rspan-ASMmales
5792;Rodentia;Ctenodactylidae;Ctenodactylus;Ctenodactylus gundi;288.41;PanTHERIA;2117;AnAge;2017.95;239.01;calculated;824.2155;824.2155;Rspan-AFR(SM+Gest)
20481;Rodentia;Sciuridae;Spermophilus;Spermophilus beecheyi;597.82;PanTHERIA;1825;PanTHERIA;1488.37;393.37;calculated;824.9973;824.9973;Rspan-AFR(SM+Gest)
21514;Rodentia;Muridae;Tatera;Tatera indica;138.28;PanTHERIA;2555;"PanTHERIA;AnAge";2496.275;109.975;calculated;833.89475;833.89475;Rspan-AFR(SM+Gest)
15330;Diprotodontia;Macropodidae;Onychogalea;Onychogalea fraenata;4952.05;PanTHERIA;2263;"PanTHERIA;AnAge";2076.25;232.75;calculated;834.8625;834.8625;Rspan-AFR(SM+Gest)
4141;Cetartiodactyla;Bovidae;Cephalophus;Cephalophus leucogaster;13208.69;PanTHERIA;1945.45;"PanTHERIA;AnAge";1561.45;384;calculated;836.8205;836.8205;Rspan-ASMmales
17830;Rodentia;Cricetidae;Podomys;Podomys floridanus;30.74;PanTHERIA;2688.8333333;"PanTHERIA;AnAge";2671.4733333;63.36;calculated;838.08726666;838.087266657;Rspan-AFR(SM+Gest)
40537;Dasyuromorphia;Dasyuridae;Pseudantechinus;Pseudantechinus macdonnellensis;36.88;PanTHERIA;1825;"PanTHERIA;AnAge";1513.43;399.29;calculated;838.1847;838.1847;Rspan-AFR(SM+Gest)
5793;Rodentia;Ctenodactylidae;Ctenodactylus;Ctenodactylus vali;173.6;PanTHERIA;1825;PanTHERIA;1543.49;399.77;calculated;847.3821;847.3821;Rspan-AFR(SM+Gest)
19705;Macroscelidea;Macroscelididae;Rhynchocyon;Rhynchocyon chrysopygus;535.2;PanTHERIA;2737.5;"PanTHERIA;AnAge";2657.365;80.135;calculated;850.77085;850.77085;Rspan-AFR(SM+Gest)
41256;Lagomorpha;Ochotonidae;Ochotona;Ochotona cansus;68.75;PanTHERIA;1825;PanTHERIA;1435.65;438.33;calculated;854.6685;854.6685;Rspan-AFR(SM+Gest)
16659;Rodentia;Cricetidae;Peromyscus;Peromyscus eremicus;22.73;PanTHERIA;2701;AnAge;2673.605;80.745;calculated;856.09045;856.09045;Rspan-AFR(SM+Gest)
42463;Rodentia;Sciuridae;Spermophilus;Spermophilus armatus;306.48;PanTHERIA;1825;PanTHERIA;1428.59;445.41;calculated;859.7011;859.7011;Rspan-AFR(SM+Gest)
13992;Rodentia;Gliridae;Muscardinus;Muscardinus avellanarius;29.19;PanTHERIA;2062.25;"PanTHERIA;AnAge";1740.125;370.095;calculated;874.73125;874.73125;Rspan-AFR(SM+Gest)
16890;Dasyuromorphia;Dasyuridae;Phascogale;Phascogale tapoatafa;192.65;PanTHERIA;1989.25;"PanTHERIA;AnAge";1645.135;401.265;calculated;878.35415;878.35415;Rspan-AFR(SM+Gest)
9246;Rodentia;Gliridae;Glirulus;Glirulus japonicus;27;Animal Diversity;2555;AnAge;2440.68;175.72;calculated;883.5172;883.5172;Rspan-AFR(SM+Gest)
1149;Rodentia;Sciuridae;Ammospermophilus;Ammospermophilus nelsoni;160.42;PanTHERIA;2007.5;PanTHERIA;1655.93;403.57;calculated;883.7897;883.7897;Rspan-AFR(SM+Gest)
18560;Rodentia;Muridae;Pseudomys;Pseudomys australis;52.97;PanTHERIA;2463.75;"PanTHERIA;AnAge";2311.855;214.245;calculated;884.68295;884.68295;Rspan-AFR(SM+Gest)
41300;Lagomorpha;Leporidae;Sylvilagus;Sylvilagus nuttallii;801.54;PanTHERIA;2701;AnAge;2628.08;131.16;calculated;893.3032;893.3032;Rspan-AFR(SM+Gest)
3650;Didelphimorphia;Didelphidae;Caluromys;Caluromys derbianus;326.72;PanTHERIA;2500.25;"PanTHERIA;AnAge";2260.25;240;calculated;895.4725;895.4725;Rspan-AFR(SM+Gest)
16656;Rodentia;Cricetidae;Peromyscus;Peromyscus crinitus;16.32;PanTHERIA;2810.5;AnAge;2763.975;95.855;calculated;897.40775;897.40775;Rspan-AFR(SM+Gest)
6294;Dasyuromorphia;Dasyuridae;Dasyurus;Dasyurus geoffroii;1106.62;PanTHERIA;2044;"PanTHERIA;AnAge";1643.47;434.19;calculated;910.7963;910.7963;Rspan-AFR(SM+Gest)
6300;Dasyuromorphia;Dasyuridae;Dasyurus;Dasyurus maculatus;3284.15;PanTHERIA;2153.5;"PanTHERIA;AnAge";1800.11;395.39;calculated;917.4219;917.4219;Rspan-AFR(SM+Gest)
41297;Lagomorpha;Leporidae;Sylvilagus;Sylvilagus audubonii;880.88;PanTHERIA;2847;AnAge;2784.8;119.2;calculated;926.792;926.792;Rspan-AFR(SM+Gest)
40605;Eulipotyphla;Erinaceidae;Erinaceus;Erinaceus concolor;665.99;PanTHERIA;2555;AnAge;2390.64;234.34;calculated;927.6256;927.6256;Rspan-AFR(SM+Gest)
40607;Eulipotyphla;Erinaceidae;Hemiechinus;Hemiechinus auritus;322.04;PanTHERIA;2628;"PanTHERIA;AnAge";2376.91;251.09;calculated;940.3939;940.3939;Rspan-AFR(SM+Gest)
4331;Rodentia;Heteromyidae;Chaetodipus;Chaetodipus formosus;20.02;PanTHERIA;2208.25;"PanTHERIA;AnAge";1858.68;405.57;calculated;944.5872;944.5872;Rspan-AFR(SM+Gest)
41471;Eulipotyphla;Talpidae;Scalopus;Scalopus aquaticus;87.15;PanTHERIA;2263;PanTHERIA;1965.965;375.025;calculated;945.15485;945.15485;Rspan-AFR(SM+Gest)
9145;Rodentia;Muridae;Gerbillus;Gerbillus pyramidum;42.8;PanTHERIA;2993;"PanTHERIA;AnAge";2936.42;99.72;calculated;951.2818;951.2818;Rspan-AFR(SM+Gest)
20472;Rodentia;Sciuridae;Spermophilus;Spermophilus citellus;395.97;PanTHERIA;2445.5;AnAge;2178.98;321.26;calculated;953.1642;953.1642;Rspan-AFR(SM+Gest)
21839;Rodentia;Echimyidae;Thrichomys;Thrichomys apereoides;297.53;PanTHERIA;2555;AnAge;2523.92;221.52;calculated;953.4568;953.4568;Rspan-AFR(SM+Gest)
