ID,clone,size,pop,ad,afr,ro
349,14,Large,WTE,57,12,166
350,14,Large,WTE,28,12,64
351,15,Large,WTE,101,11,201
353,15,Large,WTE,99,13,253
354,15,Large,WTE,34,12,73
355,15,Large,WTE,41,11,114
356,15,Large,WTE,45,11,116
357,15,Large,WTE,91,11,204
358,15,Large,WTE,42,11,106
359,15,Large,WTE,47,11,137
360,15,Large,WTE,94,12,238
361,15,Large,WTE,99,12,253
362,15,Large,WTE,29,12,73
363,15,Large,WTE,99,12,279
364,15,Large,WTE,80,13,240
365,15,Large,WTE,22,11,42
366,15,Large,WTE,78,13,198
367,15,Large,WTE,72,11,234
368,15,Large,WTE,104,12,239
369,15,Large,WTE,18,13,15
370,15,Large,WTE,81,13,205
371,15,Large,WTE,75,11,238
372,15,Large,WTE,62,13,162
373,15,Large,WTE,59,11,173
375,15,Large,WTE,88,13,248
376,16,Large,WTE,62,13,144
377,16,Large,WTE,75,11,275
378,16,Large,WTE,88,12,211
379,16,Large,WTE,97,11,222
380,16,Large,WTE,46,13,128
381,16,Large,WTE,90,13,212
382,16,Large,WTE,102,12,231
383,16,Large,WTE,84,11,272
385,16,Large,WTE,98,11,243
386,16,Large,WTE,69,11,209
387,16,Large,WTE,88,13,214
388,16,Large,WTE,27,13,39
390,16,Large,WTE,70,13,174
391,16,Large,WTE,31,11,52
392,16,Large,WTE,99,12,260
393,16,Large,WTE,40,12,109
395,16,Large,WTE,92,13,252
396,16,Large,WTE,94,11,227
397,16,Large,WTE,97,11,261
398,16,Large,WTE,81,11,208
399,16,Large,WTE,66,12,222
400,16,Large,WTE,26,13,34
401,17,Large,WTE,20,12,15
402,17,Large,WTE,40,11,59
404,17,Large,WTE,41,12,64
405,17,Large,WTE,33,11,43
406,17,Large,WTE,24,13,33
409,17,Large,WTE,52,11,97
410,17,Large,WTE,22,13,21
411,17,Large,WTE,32,15,56
413,17,Large,WTE,59,12,110
414,17,Large,WTE,26,11,38
415,17,Large,WTE,62,14,100
416,17,Large,WTE,69,14,135
417,17,Large,WTE,16,12,6
418,17,Large,WTE,20,11,14
419,17,Large,WTE,36,15,51
420,17,Large,WTE,18,15,20
421,17,Large,WTE,77,13,114
422,17,Large,WTE,61,15,107
423,17,Large,WTE,62,11,98
424,17,Large,WTE,65,14,78
425,17,Large,WTE,39,15,62
426,18,Large,WTE,22,15,28
427,18,Large,WTE,25,13,30
428,18,Large,WTE,18,13,17
429,18,Large,WTE,34,11,50
430,18,Large,WTE,37,14,65
431,18,Large,WTE,16,14,7
432,18,Large,WTE,36,11,69
434,18,Large,WTE,46,14,83
435,18,Large,WTE,46,13,92
437,18,Large,WTE,37,12,84
438,18,Large,WTE,30,14,70
440,18,Large,WTE,42,11,45
441,18,Large,WTE,28,14,46
443,18,Large,WTE,54,13,104
445,18,Large,WTE,50,12,56
446,18,Large,WTE,69,12,137
447,18,Large,WTE,61,14,116
448,18,Large,WTE,37,12,64
449,18,Large,WTE,45,11,86
450,18,Large,WTE,25,11,34
451,19,Large,WTE,30,12,60
453,19,Large,WTE,38,13,71
454,19,Large,WTE,26,11,49
455,19,Large,WTE,48,12,78
456,19,Large,WTE,27,15,35
458,19,Large,WTE,60,15,105
460,19,Large,WTE,61,13,92
461,19,Large,WTE,22,14,18
462,19,Large,WTE,32,14,44
464,19,Large,WTE,68,13,136
465,19,Large,WTE,44,14,48
467,19,Large,WTE,65,13,113
468,19,Large,WTE,47,14,67
469,19,Large,WTE,28,14,16
470,19,Large,WTE,20,15,14
471,19,Large,WTE,56,14,92
472,19,Large,WTE,25,12,41
473,19,Large,WTE,55,14,103
474,19,Large,WTE,61,15,104
475,19,Large,WTE,41,14,39
476,20,Large,WTE,36,14,71
477,20,Large,WTE,50,11,67
478,20,Large,WTE,35,13,55
480,20,Large,WTE,52,11,102
481,20,Large,WTE,25,15,41
483,20,Large,WTE,61,14,111
485,20,Large,WTE,30,15,54
486,20,Large,WTE,22,12,10
487,20,Large,WTE,48,14,97
488,20,Large,WTE,17,14,4
489,20,Large,WTE,54,12,124
490,20,Large,WTE,55,12,73
492,20,Large,WTE,32,14,55
493,20,Large,WTE,61,12,100
494,20,Large,WTE,49,11,73
495,20,Large,WTE,42,15,51
496,20,Large,WTE,20,11,6
497,20,Large,WTE,45,14,89
498,20,Large,WTE,44,13,101
499,20,Large,WTE,41,15,80
500,20,Large,WTE,37,15,39
501,21,Large,WTE,55,11,155
502,21,Large,WTE,82,13,182
503,21,Large,WTE,24,11,34
504,21,Large,WTE,99,13,243
506,21,Large,WTE,82,11,137
507,21,Large,WTE,36,12,84
509,21,Large,WTE,79,11,197
510,21,Large,WTE,104,12,262
511,21,Large,WTE,47,11,88
512,21,Large,WTE,101,11,213
514,21,Large,WTE,80,11,148
515,21,Large,WTE,72,11,199
516,21,Large,WTE,93,12,137
518,21,Large,WTE,100,13,201
519,21,Large,WTE,33,13,68
520,21,Large,WTE,58,11,184
521,21,Large,WTE,27,13,37
522,21,Large,WTE,93,12,177
523,21,Large,WTE,91,12,150
524,21,Large,WTE,81,11,179
525,21,Large,WTE,88,12,197
526,22,Large,WTE,62,12,129
527,22,Large,WTE,89,12,210
528,22,Large,WTE,28,13,49
529,22,Large,WTE,90,13,178
530,22,Large,WTE,30,12,52
531,22,Large,WTE,79,12,203
533,22,Large,WTE,84,13,156
534,22,Large,WTE,51,11,144
535,22,Large,WTE,94,12,170
537,22,Large,WTE,108,13,187
538,22,Large,WTE,27,11,14
539,22,Large,WTE,112,12,167
540,22,Large,WTE,58,13,107
542,22,Large,WTE,100,13,183
543,22,Large,WTE,67,13,201
544,22,Large,WTE,92,12,192
545,22,Large,WTE,22,12,13
546,22,Large,WTE,99,12,206
547,22,Large,WTE,81,13,156
548,22,Large,WTE,99,12,203
549,22,Large,WTE,85,12,181
550,22,Large,WTE,55,12,126
551,23,Large,WTE,36,13,55
552,23,Large,WTE,80,13,188
553,23,Large,WTE,38,12,81
554,23,Large,WTE,88,13,181
555,23,Large,WTE,61,12,120
556,23,Large,WTE,89,13,166
558,23,Large,WTE,99,11,177
559,23,Large,WTE,108,13,182
560,23,Large,WTE,58,13,111
561,23,Large,WTE,93,12,202
563,23,Large,WTE,94,11,173
565,23,Large,WTE,82,12,178
566,23,Large,WTE,30,11,35
567,23,Large,WTE,93,12,209
568,23,Large,WTE,17,11,5
569,23,Large,WTE,94,11,201
570,23,Large,WTE,91,12,193
571,23,Large,WTE,92,12,202
572,23,Large,WTE,71,12,183
573,23,Large,WTE,90,12,163
574,23,Large,WTE,103,11,153
575,23,Large,WTE,20,12,16
576,24,Large,WTE,55,11,107
577,24,Large,WTE,73,11,161
578,24,Large,WTE,39,12,96
579,24,Large,WTE,73,12,195
581,24,Large,WTE,80,13,202
582,24,Large,WTE,26,11,46
583,24,Large,WTE,100,11,196
584,24,Large,WTE,88,11,193
585,24,Large,WTE,61,13,110
586,24,Large,WTE,48,12,119
587,24,Large,WTE,98,12,218
589,24,Large,WTE,112,13,260
590,24,Large,WTE,99,13,200
591,24,Large,WTE,37,13,77
592,24,Large,WTE,101,11,177
593,24,Large,WTE,16,13,6
594,24,Large,WTE,93,13,163
595,24,Large,WTE,70,11,168
596,24,Large,WTE,30,11,44
597,24,Large,WTE,104,12,256
598,24,Large,WTE,91,13,198
599,24,Large,WTE,41,13,69
600,24,Large,WTE,72,11,155
601,25,Large,MOS,27,13,35
602,25,Large,MOS,56,12,142
604,25,Large,MOS,57,13,162
605,25,Large,MOS,18,11,8
606,25,Large,MOS,52,13,107
607,25,Large,MOS,48,12,116
609,25,Large,MOS,62,13,159
610,25,Large,MOS,51,12,129
613,25,Large,MOS,22,11,18
614,25,Large,MOS,36,12,62
616,25,Large,MOS,62,11,157
618,25,Large,MOS,30,11,56
620,25,Large,MOS,70,11,199
621,25,Large,MOS,58,13,163
622,25,Large,MOS,50,11,95
625,25,Large,MOS,55,11,141
626,26,Large,MOS,55,11,128
627,26,Large,MOS,49,12,120
628,26,Large,MOS,69,12,154
630,26,Large,MOS,20,11,12
633,26,Large,MOS,68,11,151
634,26,Large,MOS,55,13,93
635,26,Large,MOS,61,12,138
638,26,Large,MOS,58,12,113
639,26,Large,MOS,57,12,118
641,26,Large,MOS,52,11,112
643,26,Large,MOS,48,13,147
644,26,Large,MOS,37,11,83
645,26,Large,MOS,73,12,169
646,26,Large,MOS,25,12,51
647,26,Large,MOS,75,11,159
648,26,Large,MOS,77,11,129
650,26,Large,MOS,16,12,8
652,27,Large,MOS,21,11,9
653,27,Large,MOS,59,13,112
656,27,Large,MOS,67,11,139
657,27,Large,MOS,46,11,112
659,27,Large,MOS,66,12,133
660,27,Large,MOS,20,11,7
661,27,Large,MOS,69,13,140
663,27,Large,MOS,72,13,173
664,27,Large,MOS,65,13,134
667,27,Large,MOS,76,11,163
668,27,Large,MOS,26,12,41
669,27,Large,MOS,77,13,139
670,27,Large,MOS,80,12,200
673,27,Large,MOS,88,13,183
674,27,Large,MOS,16,11,8
675,27,Large,MOS,35,11,74
676,28,Large,MOS,57,13,88
677,28,Large,MOS,29,12,53
679,28,Large,MOS,40,12,70
680,28,Large,MOS,22,12,24
682,28,Large,MOS,75,12,185
684,28,Large,MOS,62,11,173
685,28,Large,MOS,41,11,59
686,28,Large,MOS,25,11,34
688,28,Large,MOS,62,13,115
689,28,Large,MOS,27,13,21
691,28,Large,MOS,30,12,39
692,28,Large,MOS,68,13,160
694,28,Large,MOS,65,13,189
695,28,Large,MOS,73,13,193
696,28,Large,MOS,33,11,72
697,28,Large,MOS,77,12,158
699,28,Large,MOS,62,11,107
700,28,Large,MOS,58,12,79
701,29,Large,MOS,22,11,18
702,29,Large,MOS,61,11,68
704,29,Large,MOS,21,12,21
705,29,Large,MOS,59,14,83
707,29,Large,MOS,25,12,25
708,29,Large,MOS,31,14,32
709,29,Large,MOS,58,15,91
710,29,Large,MOS,17,14,6
711,29,Large,MOS,37,14,47
713,29,Large,MOS,27,12,23
714,29,Large,MOS,20,12,7
715,29,Large,MOS,17,11,5
716,29,Large,MOS,65,12,98
717,29,Large,MOS,44,12,72
718,29,Large,MOS,55,12,88
720,29,Large,MOS,67,14,100
721,29,Large,MOS,24,15,12
722,29,Large,MOS,49,13,72
723,29,Large,MOS,40,11,43
724,29,Large,MOS,44,15,46
725,29,Large,MOS,38,12,41
726,30,Large,MOS,25,14,31
727,30,Large,MOS,44,12,62
729,30,Large,MOS,55,13,85
731,30,Large,MOS,47,13,61
732,30,Large,MOS,61,14,75
734,30,Large,MOS,36,11,44
735,30,Large,MOS,24,12,11
736,30,Large,MOS,36,13,50
737,30,Large,MOS,60,15,93
739,30,Large,MOS,47,15,60
740,30,Large,MOS,22,13,15
741,30,Large,MOS,19,11,22
742,30,Large,MOS,58,14,85
743,30,Large,MOS,17,13,8
744,30,Large,MOS,71,15,70
745,30,Large,MOS,56,12,85
746,30,Large,MOS,27,13,19
747,30,Large,MOS,56,14,93
748,30,Large,MOS,40,15,41
749,30,Large,MOS,51,12,70
750,30,Large,MOS,38,13,50
751,31,Large,MOS,38,15,66
752,31,Large,MOS,51,11,86
754,31,Large,MOS,40,12,57
755,31,Large,MOS,55,14,49
756,31,Large,MOS,25,15,36
757,31,Large,MOS,67,11,108
760,31,Large,MOS,62,11,86
761,31,Large,MOS,37,15,41
762,31,Large,MOS,66,11,87
764,31,Large,MOS,37,11,53
765,31,Large,MOS,25,12,29
766,31,Large,MOS,30,12,25
767,31,Large,MOS,44,11,56
768,31,Large,MOS,68,12,89
769,31,Large,MOS,17,11,4
770,31,Large,MOS,64,12,77
771,31,Large,MOS,50,12,57
772,31,Large,MOS,51,14,90
773,31,Large,MOS,47,14,57
774,31,Large,MOS,76,11,141
775,31,Large,MOS,20,15,10
776,32,Large,MOS,28,13,35
777,32,Large,MOS,18,13,3
779,32,Large,MOS,63,14,85
780,32,Large,MOS,17,15,12
781,32,Large,MOS,48,11,72
783,32,Large,MOS,52,13,89
785,32,Large,MOS,38,13,63
786,32,Large,MOS,48,12,57
787,32,Large,MOS,42,13,75
788,32,Large,MOS,53,13,85
790,32,Large,MOS,28,14,30
791,32,Large,MOS,70,11,77
793,32,Large,MOS,62,13,70
794,32,Large,MOS,52,15,98
796,32,Large,MOS,48,14,71
797,32,Large,MOS,32,15,66
799,32,Large,MOS,22,11,19
800,32,Large,MOS,73,12,104
801,33,Large,MOS,62,13,173
803,33,Large,MOS,99,13,250
804,33,Large,MOS,27,12,14
805,33,Large,MOS,16,11,7
806,33,Large,MOS,95,11,157
808,33,Large,MOS,48,12,75
809,33,Large,MOS,22,11,6
810,33,Large,MOS,68,11,133
811,33,Large,MOS,18,11,9
812,33,Large,MOS,89,11,241
813,33,Large,MOS,101,12,221
815,33,Large,MOS,84,11,218
816,33,Large,MOS,18,12,12
817,33,Large,MOS,108,13,210
818,33,Large,MOS,94,12,186
820,33,Large,MOS,92,11,187
821,33,Large,MOS,72,13,177
822,33,Large,MOS,20,12,10
823,33,Large,MOS,90,13,218
824,33,Large,MOS,86,13,230
825,33,Large,MOS,49,13,142
827,34,Large,MOS,26,13,31
828,34,Large,MOS,74,11,172
829,34,Large,MOS,58,13,156
831,34,Large,MOS,75,11,239
832,34,Large,MOS,88,11,209
833,34,Large,MOS,83,11,180
834,34,Large,MOS,93,11,226
836,34,Large,MOS,95,11,220
837,34,Large,MOS,91,13,187
838,34,Large,MOS,52,13,168
839,34,Large,MOS,48,12,144
840,34,Large,MOS,20,11,8
842,34,Large,MOS,90,12,153
843,34,Large,MOS,100,13,256
844,34,Large,MOS,104,11,219
846,34,Large,MOS,93,11,200
847,34,Large,MOS,19,11,16
848,34,Large,MOS,66,13,185
849,34,Large,MOS,56,12,104
850,34,Large,MOS,37,12,71
851,35,Large,MOS,72,11,168
852,35,Large,MOS,22,12,31
853,35,Large,MOS,82,13,138
854,35,Large,MOS,73,11,202
856,35,Large,MOS,88,13,205
857,35,Large,MOS,37,11,53
858,35,Large,MOS,92,11,223
859,35,Large,MOS,42,12,125
861,35,Large,MOS,77,11,190
862,35,Large,MOS,44,11,112
864,35,Large,MOS,68,12,192
865,35,Large,MOS,94,13,275
866,35,Large,MOS,46,12,127
867,35,Large,MOS,82,11,152
869,35,Large,MOS,105,13,214
870,35,Large,MOS,99,11,185
871,35,Large,MOS,19,12,8
872,35,Large,MOS,94,12,256
873,35,Large,MOS,27,11,41
874,35,Large,MOS,108,11,235
875,35,Large,MOS,55,12,141
876,36,Large,MOS,20,13,23
877,36,Large,MOS,95,13,231
878,36,Large,MOS,48,12,98
879,36,Large,MOS,17,13,6
880,36,Large,MOS,90,12,175
881,36,Large,MOS,100,13,213
882,36,Large,MOS,55,13,79
883,36,Large,MOS,72,13,179
885,36,Large,MOS,73,13,170
886,36,Large,MOS,104,13,225
887,36,Large,MOS,83,12,157
889,36,Large,MOS,53,12,171
891,36,Large,MOS,82,11,183
892,36,Large,MOS,85,12,227
893,36,Large,MOS,99,12,226
895,36,Large,MOS,87,11,171
896,36,Large,MOS,93,13,204
897,36,Large,MOS,100,11,253
898,36,Large,MOS,34,13,68
899,36,Large,MOS,85,12,162
900,36,Large,MOS,73,13,185
901,37,Large,ISM,27,12,27
902,37,Large,ISM,48,12,110
904,37,Large,ISM,44,11,81
906,37,Large,ISM,37,13,31
907,37,Large,ISM,17,12,9
908,37,Large,ISM,26,13,30
910,37,Large,ISM,43,13,58
911,37,Large,ISM,41,13,51
912,37,Large,ISM,22,12,23
913,37,Large,ISM,19,11,17
915,37,Large,ISM,40,12,75
916,37,Large,ISM,56,13,97
917,37,Large,ISM,39,13,65
919,37,Large,ISM,25,12,29
921,37,Large,ISM,30,11,46
922,37,Large,ISM,57,13,118
923,37,Large,ISM,51,12,152
924,37,Large,ISM,37,12,61
925,37,Large,ISM,61,11,128
926,38,Large,ISM,45,13,101
927,38,Large,ISM,32,13,29
928,38,Large,ISM,55,12,117
929,38,Large,ISM,31,13,59
930,38,Large,ISM,28,13,58
932,38,Large,ISM,68,11,166
935,38,Large,ISM,60,11,156
937,38,Large,ISM,55,13,54
939,38,Large,ISM,45,12,110
940,38,Large,ISM,31,13,31
941,38,Large,ISM,38,12,63
942,38,Large,ISM,32,11,61
943,38,Large,ISM,67,11,195
944,38,Large,ISM,26,12,34
945,38,Large,ISM,25,11,38
946,38,Large,ISM,16,12,9
947,38,Large,ISM,60,13,129
948,38,Large,ISM,20,11,15
949,38,Large,ISM,31,13,44
950,38,Large,ISM,45,13,119
952,39,Large,ISM,62,11,125
953,39,Large,ISM,56,11,123
954,39,Large,ISM,32,11,49
957,39,Large,ISM,16,12,6
958,39,Large,ISM,22,13,22
959,39,Large,ISM,52,13,110
960,39,Large,ISM,74,13,124
961,39,Large,ISM,20,12,22
962,39,Large,ISM,28,11,35
963,39,Large,ISM,60,13,123
965,39,Large,ISM,36,13,56
966,39,Large,ISM,38,11,61
967,39,Large,ISM,58,11,128
968,39,Large,ISM,31,13,42
970,39,Large,ISM,50,11,103
971,39,Large,ISM,65,13,141
972,39,Large,ISM,44,11,64
973,39,Large,ISM,48,13,124
974,39,Large,ISM,52,13,102
976,40,Large,ISM,44,11,77
977,40,Large,ISM,17,11,3
979,40,Large,ISM,54,11,114
981,40,Large,ISM,59,11,130
983,40,Large,ISM,41,12,88
985,40,Large,ISM,69,12,108
986,40,Large,ISM,66,12,133
989,40,Large,ISM,48,12,148
990,40,Large,ISM,48,13,75
991,40,Large,ISM,39,12,89
992,40,Large,ISM,52,11,81
993,40,Large,ISM,30,11,36
994,40,Large,ISM,49,12,82
995,40,Large,ISM,22,12,19
997,40,Large,ISM,50,12,145
998,40,Large,ISM,42,13,81
999,40,Large,ISM,32,13,69
1000,40,Large,ISM,16,13,8
1002,41,Large,ISM,21,13,18
1003,41,Large,ISM,40,15,42
1004,41,Large,ISM,63,14,67
1005,41,Large,ISM,50,11,51
1006,41,Large,ISM,38,14,54
1007,41,Large,ISM,43,13,48
1010,41,Large,ISM,60,13,71
1011,41,Large,ISM,45,14,66
1012,41,Large,ISM,71,13,79
1013,41,Large,ISM,17,13,3
1015,41,Large,ISM,34,13,27
1016,41,Large,ISM,22,14,18
1017,41,Large,ISM,31,12,43
1018,41,Large,ISM,56,12,79
1020,41,Large,ISM,56,11,88
1021,41,Large,ISM,43,14,50
1023,41,Large,ISM,28,12,29
1024,41,Large,ISM,37,15,36
1025,41,Large,ISM,45,14,43
1026,42,Large,ISM,65,13,85
1027,42,Large,ISM,28,15,25
1028,42,Large,ISM,20,11,15
1029,42,Large,ISM,37,12,42
1031,42,Large,ISM,32,15,25
1032,42,Large,ISM,69,11,68
