Scientific Name	Taxon Author	tsn
Andrena ardis	LaBerge, 1967	654158
Andrena arenata	Osytshnjuk, 1983	752147
Andrena arenicola	LaBerge & Ribble, 1972	654159
Andrena argemonis	Cockerell, 1896	654160
Andrena argentata	Smith, 1844	752148
Andrena argentiscopa	Viereck, 1917	654161
Andrena argyreofasciata	Schmiedeknecht, 1900	752149
Andrena arima	Cameron, 1909	752150
Andrena armeniaca	Popov, 1940	752151
Andrena arsinoe	Schmiedeknecht, 1900	752152
Andrena aruana	Warncke, 1967	752153
Andrena asiatica	Friese, 1921	752154
Andrena aspericollis	Pérez, 1895	752155
Andrena asperrima	Pérez, 1895	752156
Andrena asperula	Osytshnjuk, 1977	752157
Andrena assimilis	Radoszkowski, 1876	752158
Andrena asteris	Robertson, 1891	654162
Andrena asteroides	Mitchell, 1960	654163
Andrena astica	Warncke, 1967	752159
Andrena astragali	Viereck & Cockerell, 1914	654164
Andrena astrella	Warncke, 1975	752160
Andrena athenensis	Warncke, 1965	752161
Andrena atlantica	Mitchell, 1960	654165
Andrena atrata	Friese, 1887	752162
Andrena atrohirta	Morawitz, 1894	752163
Andrena atrotegularis	Hedicke, 1923	752164
Andrena atypica	(Cockerell, 1941)	654166
Andrena auricoma	Smith, 1879	654167
Andrena auriculata	Xu & Tadauchi, 2006	752165
Andrena aurihirta	Donovan, 1977	654168
Andrena auripes	LaBerge, 1967	654169
Andrena austroinsularis	Tadauchi & Hirashima, 1983	752166
Andrena autumnalis	Viereck & Cockerell, 1914	752167
Andrena avara	Warncke, 1967	752168
Andrena avulsa	LaBerge & Ribble, 1972	654170
Andrena azerbaidshanica	Lebedev, 1932	752169
Andrena babai	Tadauchi & Hirashima, 1987	752170
Andrena baeriae	Timberlake, 1941	654171
Andrena bairacumensis	Morawitz, 1876	752171
Andrena balsamorhizae	LaBerge, 1967	654172
Andrena balucha	Nurse, 1904	752172
Andrena banffensis	Viereck, 1924	752173
Andrena banksi	Malloch, 1917	654173
Andrena barbara	Bouseman & LaBerge, 1979	654174
Andrena barbareae	Panzer, 1805	752174
Andrena barberi	Cockerell, 1898	654175
Andrena barbilabris	(Kirby, 1802)	654176
Andrena basifusca	Cockerell, 1930	752175
Andrena basimacula	Alfken, 1929	752176
Andrena bassana	Warncke, 1969	752177
Andrena batangensis	Xu, 1994	752178
Andrena bayona	Warncke, 1975	752179
Andrena beameri	LaBerge, 1967	654177
Andrena beijingensis	Xu, 1994	752180
Andrena bellidis	Pérez, 1895	752181
Andrena bellidoides	LaBerge, 1968	752182
Andrena bendensis	Donovan, 1977	654178
Andrena benefica	Hirashima, 1962	752183
Andrena bengasinensis	Schulthess, 1924	752184
Andrena bentoni	Cockerell, 1917	752185
Andrena berberidis	Cockerell, 1905	654179
Andrena berkeleyi	Viereck & Cockerell, 1914	654180
Andrena bernardina	Linsley, 1938	654181
Andrena bernicla	Warncke, 1975	752186
Andrena biareola	LaBerge, 1971	654182
Andrena biarmica	Warncke, 1975	752187
Andrena bicarinata	Morawitz, 1876	752188
Andrena bicolor	Fabricius, 1775	752189
Andrena bicolorata	(Rossi, 1790)	752190
Andrena biemarginata	Nurse, 1904	752191
Andrena bifida	Warncke, 1967	752192
Andrena biguttata	Friese, 1923	752193
Andrena bilavia	Osytshnjuk, 1994	752194
Andrena bilimeki	LaBerge, 1967	654183
Andrena bimaculata	(Kirby, 1802)	752195
Andrena binominata	Smith, 1853	752196
Andrena birtwelli	Cockerell, 1901	654184
Andrena bisalicis	Viereck, 1908	654185
Andrena biscutellata	Viereck, 1917	654186
Andrena biskrensis	Pérez, 1895	752197
Andrena bisulcata	Morawitz, 1877	752198
Andrena blaisdelli	Cockerell, 1924	654187
Andrena blanda	Pérez, 1895	752199
Andrena blennospermatis	Thorp, 1969	654188
Andrena bocensis	Donovan, 1977	654189
Andrena bonasia	Warncke, 1969	752200
Andrena bonivuri	Osytshnjuk, 1984	752201
Andrena boronensis	Linsley & MacSwain, 1962	654190
Andrena boyerella	Dours, 1872	752202
Andrena braccata	Viereck, 1907	654191
Andrena bradleyi	Viereck, 1907	654192
Andrena brasiliensis	Vachal, 1901	753139
Andrena braunsiana	Friese, 1887	752203
Andrena brevicornis	Bouseman & LaBerge, 1979	654193
Andrena brevihirtiscopa	Hirashima, 1962	752204
Andrena brevipalpis	Cockerell, 1930	654194
Andrena breviscopa	Pérez, 1895	752205
Andrena brooksi	Larkin, 2004	752206
Andrena brumanensis	Friese, 1899	752207
Andrena bruneri	Viereck & Cockerell, 1914	654195
Andrena buccata	LaBerge, 1971	654196
Andrena bucculenta	LaBerge & Ribble, 1972	654197
Andrena bucephala	Stephens, 1846	752208
Andrena buckelli	Viereck, 1924	654198
Andrena bulgariensis	Warncke, 1965	752209
Andrena bullata	LaBerge, 1967	654199
Andrena burkelli	Bingham, 1908	752210
Andrena butea	Warncke, 1965	752211
Andrena byrsicola	Schmiedeknecht, 1900	752212
Andrena bytinskii	Warncke, 1969	752213
Andrena caerulea	Smith, 1879	654200
Andrena caeruleonitens	Viereck, 1926	752214
Andrena caesia	Warncke, 1974	752215
Andrena calandra	Warncke, 1975	752216
Andrena californiensis	Ribble, 1968	654201
Andrena caliginosa	Viereck, 1916	654202
Andrena callopyrrha	Cockerell, 1929	752217
Andrena callosa	Warncke, 1967	752218
Andrena calvata	LaBerge, 1967	654203
Andrena camellia	Wu, 1977	752219
Andrena camissoniae	Linsley & MacSwain, 1968	654204
Andrena canadensis	Dalla Torre, 1896	654205
Andrena candida	Smith, 1879	654206
Andrena candidiformis	Viereck & Cockerell, 1914	654207
Andrena caneae	Strand, 1915	752220
Andrena caneibia	Strand, 1915	752221
Andrena canohirta	(Friese, 1923)	752222
Andrena cantiaca	Warncke, 1975	752223
Andrena canuta	Warncke, 1975	752224
Andrena capillosa	Morawitz, 1876	752225
Andrena capillosella	Osytshnjuk, 1986	767929
Andrena capricornis	Casad & Cockerell, 1896	654208
Andrena caprimulga	Warncke, 1975	752227
Andrena cara	Nurse, 1904	752228
Andrena carantonica	Pérez, 1902	752229
Andrena carinata	Morawitz, 1877	752230
Andrena carinifrons	Morawitz, 1876	752231
Andrena carinigena	Wu, 1982	752232
Andrena carlini	Cockerell, 1901	654209
Andrena caroli	Pérez, 1895	752233
Andrena carolina	Viereck, 1909	654210
Andrena carolinensis	Mitchell, 1960	752234
Andrena casadae	Cockerell, 1896	752235
Andrena caspica	Morawitz, 1886	752236
Andrena castanea	Warncke, 1975	752237
Andrena caudata	Warncke, 1965	752238
Andrena ceanothi	Viereck, 1917	654211
Andrena ceanothifloris	Linsley, 1938	654212
Andrena cephalota	Xu, 1994	752239
Andrena cerasifolii	Cockerell, 1896	654213
Andrena cercocarpi	Cockerell, 1936	654214
Andrena cerebrata	Mitchell, 1960	654215
Andrena cervina	Warncke, 1975	752240
Andrena chaetogastra	Pittioni, 1950	752241
Andrena chalcogastra	Brullé, 1839	752242
Andrena chalybaea	(Cresson, 1878)	654216
Andrena chalybioides	(Viereck, 1904)	654217
Andrena chaparralensis	Neff & Larkin, 2002	654218
Andrena chapmanae	Viereck, 1904	654219
Andrena chekiangensis	Wu, 1977	752243
Andrena chelma	Warncke, 1975	752244
Andrena chengtehensis	Yasumatsu, 1935	752245
Andrena cheni	Dubitzky, 2006	752246
Andrena chersona	Warncke, 1972	752247
Andrena cheyennorum	Viereck & Cockerell, 1914	654220
Andrena chionospila	Cockerell, 1917	752248
Andrena chippewaensis	Mitchell, 1960	752249
Andrena chirisana	Tadauchi, 1992	752250
Andrena chlorogaster	Viereck, 1904	654221
Andrena chlorosoma	Linsley & MacSwain, 1961	654222
Andrena chlorura	Cockerell, 1916	654223
Andrena christineae	Dubitzky, 2006	752251
Andrena chromotricha	Cockerell, 1899	654224
Andrena chrysochersonesus	Baker, 1995	752252
Andrena chrysopus	Pérez, 1903	752253
Andrena chrysopyga	Schenck, 1853	752254
Andrena chrysosceles	(Kirby, 1802)	752255
Andrena chylismiae	Linsley & MacSwain, 1961	654225
Andrena ciconia	Warncke, 1975	752256
Andrena cineraria	(Linnaeus, 1758)	752257
Andrena cinerea	Brullé, 1832	752258
Andrena cinereophila	Warncke, 1965	752259
Andrena cinnamonea	Warncke, 1975	752260
Andrena citrinihirta	Viereck, 1917	654226
Andrena clarkella	(Kirby, 1802)	654227
Andrena cleodora	(Viereck, 1904)	654228
Andrena clusia	Warncke, 1966	752261
Andrena clypella	Strand, 1921	752262
Andrena coactipostica	Viereck, 1917	654229
Andrena cochlearicalcar	Lebedev, 1933	752263
Andrena coconina	LaBerge, 1980	654230
Andrena coitana	(Kirby, 1802)	752264
Andrena collata	Nurse, 1904	752265
Andrena colletiformis	Morawitz, 1874	752266
Andrena colletina	Cockerell, 1906	654231
Andrena colonialis	Morawitz, 1886	752267
Andrena columbiana	Viereck, 1917	654232
Andrena combaella	Warncke, 1966	752268
Andrena combinata	(Christ, 1791)	752269
Andrena combusta	Morawitz, 1876	752270
Andrena commoda	Smith, 1879	654233
Andrena communis	Smith, 1879	752271
Andrena compositarum	Thorp & LaBerge, 2005	752272
Andrena compta	Lepeletier, 1841	752273
Andrena comptaeformis	Gusenleitner & Schwarz, 2000	752274
Andrena comta	Eversmann, 1852	752275
Andrena concinna	Smith, 1853	752276
Andrena concinnula	(Cockerell, 1898)	654234
Andrena confederata	Viereck, 1917	654235
Andrena congrua	LaBerge, 1977	654236
Andrena congruens	Schmiedeknecht, 1884	752277
Andrena coracina	LaBerge & Bouseman, 1970	654238
Andrena corax	Warncke, 1967	752278
Andrena cordialis	Morawitz, 1877	752279
Andrena cornelli	Viereck, 1907	654239
Andrena coromanda	Warncke, 1975	752280
Andrena corssubalpina	Theunert, 2006	767933
Andrena coruscata	LaBerge, 1977	654240
Andrena costillensis	Viereck & Cockerell, 1914	654241
Andrena cragini	Cockerell, 1899	654242
Andrena crassana	Warncke, 1965	752281
Andrena crassepunctata	Cockerell, 1931	752282
Andrena crataegi	Robertson, 1893	654243
Andrena crawfordi	Viereck, 1909	654244
Andrena creberrima	Pérez, 1895	752283
Andrena crecca	Warncke, 1965	752284
Andrena cressonii	Robertson, 1891	654245
Andrena crinita	Bouseman & LaBerge, 1979	654246
Andrena crispa	Warncke, 1975	752285
Andrena cristata	Viereck, 1917	654247
Andrena critica	Mitchell, 1960	752286
Andrena cruciferarum	Ribble, 1974	654248
Andrena crudeni	LaBerge, 1971	654249
Andrena cryptanthae	Timberlake, 1951	654250
Andrena cryptodonta	Cockerell, 1922	752288
Andrena cubiceps	Friese, 1914	752289
Andrena cubicepsella	Warncke, 1975	752290
Andrena cuneata	Warncke, 1974	752291
Andrena cuneilabris	Viereck, 1926	654251
Andrena cupreotincta	Cockerell, 1901	654252
Andrena curiosa	(Morawitz, 1877)	752292
Andrena curtivalvis	Morice, 1899	752293
Andrena curtula	Pérez, 1903	752294
Andrena curvana	Warncke, 1965	752295
Andrena curvungula	Thomson, 1870	752296
Andrena cussariensis	Morawitz, 1886	752297
Andrena cyanomicans	Pérez, 1895	752298
Andrena cyanophila	Cockerell, 1906	654253
Andrena cyanosoma	(Cockerell, 1916)	654254
Andrena cybele	Gribodo, 1894	753114
Andrena cymatilis	LaBerge, 1987	654255
Andrena cypria	Pittioni, 1950	752299
Andrena cypricola	Mavromoustakis, 1952	752300
Andrena daeckei	Viereck, 1907	654256
Andrena dallasiana	Cockerell, 1910	752301
Andrena damara	Warncke, 1968	752302
Andrena daphanea	Warncke, 1974	752303
Andrena dapsilis	LaBerge, 1971	654257
Andrena dargia	Warncke, 1965	752304
Andrena dauma	Warncke, 1969	752305
Andrena davidsoni	Viereck & Cockerell, 1914	752306
Andrena davisi	Viereck, 1907	752307
Andrena decaocta	Warncke, 1967	752308
Andrena decipiens	Schenck, 1861	752309
Andrena declinis	LaBerge, 1977	654258
Andrena decollata	Warncke, 1974	752310
Andrena decolorata	LaBerge & Thorp, 2005	752311
Andrena delicatula	Cockerell, 1918	752312
Andrena delphiensis	Warncke, 1965	752313
Andrena dentata	Smith, 1879	752314
Andrena denticulata	(Kirby, 1802)	752315
Andrena dentiventris	Morawitz, 1874	752316
Andrena deppeana	Cockerell, 1910	752317
Andrena derbentina	Morawitz, 1886	752318
Andrena deserta	Warncke, 1974	752319
Andrena deserticola	Timberlake, 1937	654259
Andrena dilleri	Gusenleitner, 1998	752320
Andrena dimorpha	Mitchell, 1960	654260
Andrena dinizi	Warncke, 1975	752321
Andrena discophora	Morawitz, 1876	752322
Andrena discors	Erichson, 1841	752323
Andrena discreta	Smith, 1879	654261
Andrena dissimulans	Timberlake, 1951	654262
Andrena dissona	Thorp & LaBerge, 2005	752324
Andrena distans	Provancher, 1888	654263
Andrena distinguenda	Schenck, 1871	752325
Andrena djelfensis	Pérez, 1895	752326
Andrena dmitrii	Osytshnjuk, 1993	752327
Andrena dolharubang	Tadauchi & Xu, 1997	752328
Andrena dolini	Osytshnjuk, 1979	752329
Andrena dolomellea	Lanham, 1949	654264
Andrena dolosa	Morawitz, 1894	752330
Andrena dorsalis	Brullé, 1832	752331
Andrena dorsata	(Kirby, 1802)	752332
Andrena doursana	Dufour, 1853	752333
Andrena dreisbachorum	LaBerge, 1967	654265
Andrena dubiosa	Kohl, 1905	752334
Andrena duboisi	Timberlake, 1951	654266
Andrena dunningi	Cockerell, 1898	654267
Andrena duplicata	Mitchell, 1960	654268
Andrena durangoensis	Viereck & Cockerell, 1914	654269
Andrena dzynnanica	Popov, 1949	752335
Andrena eburneoclypeata	Lebedev, 1929	752336
Andrena echizenia	Hirashima & Haneda, 1973	752337
Andrena edashigei	Hirashima, 1960	752338
Andrena eddaensis	Gusenleitner, 1998	752339
Andrena edwardsi	Viereck, 1916	654270
Andrena ehnbergi	Morawitz, 1888	752340
Andrena elata	Warncke, 1975	752341
Andrena elegans	Giraud, 1863	752342
Andrena elisaria	Gusenleitner, 1998	752343
Andrena ellinorae	Grünwaldt & Osytshnjuk, 2005	752344
Andrena ellisiae	Cockerell, 1914	654271
Andrena elmaria	Gusenleitner, 1998	752345
Andrena elongatula	Viereck, 1917	752346
Andrena emeiensis	Wu, 1982	752347
Andrena enocki	(Cockerell, 1898)	752348
Andrena enslinella	Stoeckhert, 1924	752349
Andrena eoa	Popov, 1949	752350
Andrena eothina	Linsley & MacSwain, 1961	654272
Andrena erberi	Morawitz, 1871	752351
Andrena eremnophila	Thorp & LaBerge, 2005	752352
Andrena eremobia	Guiglia, 1933	752353
Andrena erigeniae	Robertson, 1891	654273
Andrena ermolenkoi	Osytshnjuk, 1984	752354
Andrena erythrogaster	(Ashmead, 1890)	654274
Andrena erythronii	Robertson, 1891	654275
Andrena esakii	Hirashima, 1957	752355
Andrena escondida	Cockerell, 1938	654276
Andrena euphorbiacea	Scheuchl, 2005	752356
Andrena euzona	Pérez, 1895	752357
Andrena everna	Warncke, 1974	752358
Andrena eversmanni	Radoszkowski, 1867	752359
Andrena evoluta	Linsley & MacSwain, 1961	654278
Andrena excellens	Viereck, 1924	752360
Andrena exigua	Erichson, 1835	752361
Andrena exquisita	Warncke, 1975	752362
Andrena ezoensis	Hirashima, 1965	752363
Andrena fabalis	Warncke, 1966	752364
Andrena fabrella	Pérez, 1903	752365
Andrena faceta	LaBerge, 1987	654279
Andrena fagopyri	Xu & Tadauchi, 2005	752366
Andrena falcinella	Warncke, 1969	752367
Andrena falsifica	Perkins, 1915	752368
Andrena falsificissima	Hirashima, 1966	752369
Andrena familiaris	Smith, 1878	752370
Andrena fani	Xu & Tadauchi, 2000	752371
Andrena farinosa	Pérez, 1895	752372
Andrena fastuosa	Smith, 1879	753115
Andrena fedtschenkoi	Morawitz, 1876	752373
Andrena fenningeri	Viereck, 1922	654280
Andrena ferghanica	Morawitz, 1876	752374
Andrena ferox	Smith, 1847	752375
Andrena ferrugineicrus	Dours, 1872	752376
Andrena ferrugineipes	LaBerge, 1977	654281
Andrena fertoni	Pérez, 1895	752377
Andrena ferulae	Pérez, 1895	752378
Andrena figurata	Morawitz, 1866	752379
Andrena fimbriata	Brullé, 1832	752380
Andrena fimbriatoides	Scheuchl, 2004	752381
Andrena firuzaensis	Popov, 1949	752382
Andrena flagella	Nurse, 1904	752383
Andrena flaminea	LaBerge, 1971	654282
Andrena flandersi	Timberlake, 1937	654283
Andrena flavipes	Panzer, 1799	752384
Andrena flavitarsis	Morawitz, 1876	752385
Andrena flavobila	Warncke, 1965	752386
Andrena flavofacies	Nurse, 1904	752387
Andrena flavolateralis	Xu & Tadauchi, 2000	752388
Andrena flexa	Malloch, 1917	654284
Andrena flocculosa	LaBerge & Ribble, 1972	654285
Andrena florea	Fabricius, 1793	752389
Andrena florentina	Magretti, 1883	752390
Andrena floricola	Eversmann, 1852	752391
Andrena floridula	Smith, 1878	752392
Andrena florivaga	Eversmann, 1852	752393
Andrena forbesii	Robertson, 1891	654286
Andrena formosana	Cockerell, 1911	752394
Andrena forsterella	Osytshnjuk, 1978	752395
Andrena foveolata	Hedicke, 1940	752396
Andrena foveopunctata	Alfken, 1932	752397
Andrena foxii	Cockerell, 1898	654287
Andrena fracta	Casad & Cockerell, 1896	654288
Andrena fragilis	Smith, 1853	654289
Andrena fratercula	Warncke, 1975	752398
Andrena freygessneri	Alfken, 1904	752399
Andrena fria	Warncke, 1975	752400
Andrena frigida	Smith, 1853	654290
Andrena fucata	Smith, 1847	752401
Andrena fukaii	Cockerell, 1914	752402
Andrena fukuokensis	Hirashima, 1952	752403
Andrena fulgida	LaBerge, 1980	654291
Andrena fulica	Warncke, 1974	752404
Andrena fuliginata	Pérez, 1895	752405
Andrena fuligula	Warncke, 1965	752406
Andrena fulminea	LaBerge, 1967	654292
Andrena fulminoides	LaBerge, 1967	654293
Andrena fulva	(Müller, 1766)	752407
Andrena fulvago	(Christ, 1791)	752408
Andrena fulvata	Stoeckhert, 1930	752409
Andrena fulvicrista	Viereck, 1924	752410
Andrena fulvida	Schenck, 1853	752411
Andrena fulvipennis	Smith, 1853	654294
Andrena fulvitarsis	Brullé, 1832	752412
Andrena fumida	Pérez, 1895	752413
Andrena fumosa	LaBerge, 1967	654295
Andrena funerea	Warncke, 1967	752414
Andrena furva	Linsley & MacSwain, 1961	654296
Andrena fuscicauda	(Viereck, 1904)	654297
Andrena fuscicollis	Morawitz, 1876	752415
Andrena fuscipes	(Kirby, 1802)	752416
Andrena fuscocalcarata	Morawitz, 1877	752417
Andrena fuscosa	Erichson, 1835	752418
Andrena galbula	Warncke, 1975	752419
Andrena gallica	Schmiedeknecht, 1883	752420
Andrena gallinula	Warncke, 1975	752421
Andrena gamskrucki	Warncke, 1965	752422
Andrena gangcana	Xu & Tadauchi, 2000	752423
Andrena gardineri	Cockerell, 1906	654299
Andrena garrula	Warncke, 1965	752424
Andrena garzetta	Warncke, 1975	752425
Andrena gasparella	Patiny, 1998	752426
Andrena gazella	Friese, 1922	752427
Andrena gelriae	van der Vecht, 1927	752428
Andrena genalis	Morawitz, 1880	752429
Andrena geranii	Robertson, 1891	654300
Andrena gibberis	Viereck, 1924	654301
Andrena gigantimurus	Tadauchi & Xu, 2002	752430
Andrena glabriventris	Alfken, 1935	752431
Andrena glandaria	Warncke, 1975	752432
Andrena glareola	Warncke, 1969	752433
Andrena glidia	Warncke, 1965	752434
Andrena gloriosa	Osytshnjuk, 1993	752435
Andrena gnaphalii	(Cockerell, 1938)	654302
Andrena gobi	Tadauchi & Xu, 2002	752436
Andrena gordia	Warncke, 1975	752437
Andrena gordoni	Ribble, 1974	654303
Andrena gorkhana	Tadauchi & Matsumura, 2007	753132
Andrena govinda	Warncke, 1974	752438
Andrena gracillima	Cameron, 1897	752439
Andrena graecella	Warncke, 1965	752440
Andrena grandilabris	Pérez, 1903	752441
Andrena granulitergorum	Tadauchi & Xu, 2002	752442
Andrena granulosa	Pérez, 1902	752443
Andrena gravida	Imhoff, 1832	752444
Andrena gregaria	Warncke, 1974	752445
Andrena grindeliae	Donovan, 1977	654304
Andrena griseigena	Warncke, 1975	752446
Andrena griseobalteata	Dours, 1872	752447
Andrena griseohirta	Alfken, 1936	752448
Andrena grossella	Grünwaldt, 1976	752449
Andrena grozdanici	Osytshnjuk, 1975	752450
Andrena guichardi	Warncke, 1980	752451
Andrena gunaca	Warncke, 1975	752452
Andrena gusenleitneri	Tadauchi & Xu, 2002	752453
Andrena gussakovskii	Lebedev, 1932	752454
Andrena guttata	Warncke, 1969	752455
Andrena haemorrhoa	(Fabricius, 1781)	752456
Andrena halictoides	Smith, 1869	752457
Andrena hallii	Dunning, 1898	654305
Andrena hamulata	LaBerge & Ribble, 1975	654306
Andrena hanedai	Tadauchi, 1985	752458
Andrena hastulata	LaBerge, 1986	654307
Andrena hattorfiana	(Fabricius, 1775)	752459
Andrena haynesi	Viereck & Cockerell, 1914	654308
Andrena hebes	Pérez, 1905	752460
Andrena hedikae	Jaeger, 1934	752461
Andrena hedini	Tadauchi & Xu, 2002	752462
Andrena heinrichi	Grünwaldt, 2005	752463
Andrena heinzi	Dubitzky, 2006	752464
Andrena helenica	Warncke, 1965	752465
Andrena helianthi	Robertson, 1891	654309
Andrena helianthiformis	Viereck & Cockerell, 1914	654310
Andrena helouanensis	Friese, 1899	752466
Andrena helvola	(Linnaeus, 1758)	752467
Andrena hemileuca	Viereck, 1904	654311
Andrena henotica	Warncke, 1975	752468
Andrena hera	Nurse, 1904	752469
Andrena heraclei	Robertson, 1897	654312
Andrena hermosa	Ribble, 1968	654313
Andrena hesperia	Smith, 1853	752470
Andrena heteropoda	Cockerell, 1922	752471
Andrena hibernica	Warncke, 1975	752472
Andrena hicksi	Cockerell, 1925	654314
Andrena hieroglyphica	Morawitz, 1876	752473
Andrena hikosana	Hirashima, 1957	752474
Andrena hilaris	Smith, 1853	654315
Andrena hillana	Warncke, 1968	752475
Andrena himalayaensis	Wu, 1982	752476
Andrena himalayana	Tadauchi & Matsumura, 2007	753134
Andrena hippotes	Robertson, 1895	654316
Andrena hirashimai	Tadauchi, 1985	752477
Andrena hirsutula	Cockerell, 1936	752478
Andrena hirticincta	Provancher, 1888	654317
Andrena hirticornis	Pérez, 1895	752479
Andrena hispania	Warncke, 1967	752480
Andrena hoffmanni	Strand, 1915	752481
Andrena hondoica	Hirashima, 1962	752482
Andrena hondurasica	Cockerell, 1949	654318
Andrena hova	Warncke, 1975	752483
Andrena humabilis	Warncke, 1965	752484
Andrena humilis	Imhoff, 1832	752485
Andrena humlaensis	Scheuchl, 2005	752486
Andrena hunanensis	Wu, 1977	752487
Andrena hungarica	Friese, 1887	752488
Andrena hurdi	Lanham, 1949	654320
Andrena hyacinthina	Mavromoustakis, 1958	752489
Andrena hybrida	Warncke, 1975	752490
Andrena hyemala	Warncke, 1973	752491
Andrena hypoleuca	Cockerell, 1939	654321
Andrena hypopolia	Schmiedeknecht, 1884	752492
Andrena hystrix	Schmiedeknecht, 1883	752493
Andrena icterina	Warncke, 1974	752494
Andrena ignota	LaBerge, 1967	654322
Andrena iliaca	Warncke, 1969	752495
Andrena ilicis	Mitchell, 1960	654323
Andrena illini	Bouseman & LaBerge, 1979	654324
Andrena illinoiensis	Robertson, 1891	654325
Andrena illustris	LaBerge, 1977	654326
Andrena illyrica	Warncke, 1975	752496
Andrena imitatrix	Cresson, 1872	654327
Andrena immaculata	Warncke, 1975	752497
Andrena impolita	LaBerge, 1987	654328
Andrena impuncta	Kirby, 1837	752498
Andrena impunctata	Pérez, 1895	752499
